unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC3CCC3C2)C1,21,1
C1CCC(C2CC(CCC3CCC4CCCC4C3)C(C3CCCCC3)C3CCCC23)CC1,8,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCCC4C3)C3CCCC23)CC1,42,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCC3C4)C3CCCC23)CC1,7,1
C1CCC(C2CCC(C3CCCCC3C3CCC4CCCC4C3)C3CCCC23)CC1,110,1
C1CCC(C2CC(CCC3CCC4CCCCC4C3)C(C3CCCCC3)C3CCCC23)CC1,10,1
C1CC2CCC2C1,739,1
C1CCC(C2CCC(C3CCCCC3C3CCC4C(CCCC4C4CCC4)C3)CC2)CC1,0,0
C1CCC(C2CCCC(CCCC3CCCC3)C2)CC1,516,1
C1CCC(C2CC(CCC3CC4CC4C3)C(C3CCCCC3)C3CCCC23)CC1,0,0
C1CCC(CCCCC2CC3CCCC3C2)CC1,39,1
C1CCC(CCCC2CC3CCCC3C2)CC1,45,1
C1CCC(CCCC2CC(CC3CC3)CC(C3CCCCC3)C2)CC1,39,1
C1CCC(C2CCCC(CCCC3CCC(CC4CC4)CC3)C2)CC1,15,1
C1CCC(C2CCC(CCC(CCC3CCCC3)C3CC4CC5CC(C5)C4C3)CC2)CC1,0,0
C1CCC(CCC2CCCC(C3CCC4CCCCC4C3)C2)CC1,43,1
C1CCC(CCCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,623,1
C1CCC(C2CC(CCCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,19,1
C1CCC(CCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,647,1
C1CCC(CCCC2C(CCC3CCCC3)CC3CCC32)CC1,1,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCCC4C3)CC2)CC1,57,1
C1CCC(C2CCC(C3CCCCC3CC3CCC3)CC2)CC1,36,1
C1CCC(C2CCC(C3CCCCC3CCC3CC3)C3CCCC23)CC1,37,1
C1CCC(CCCCC2CCC3CCCC23)CC1,48,1
C1CCC(C2CCC(C3CCCCC3CCC3CCC3)C3CCCC23)CC1,42,1
C1CCC(CCCC2CCCCC2)CC1,8875,1
C1CCC(CCCC2CCC(CCCCCC3CC4CCC3C4)CC2)CC1,0,0
C(CCC1CC2CCC1CC2)CC1CCC(CCCC2CCC3CCCCC3C2)CC1,0,0
C(CCCC1CCCCCCC(CC2CCCCC2)CCC(CC2CCCCC2)C2CCCC(CCCCC1)C2)CCC1CCCCC1,0,0
C(CCCC1CCC2CCCCC2C1)CCC1CCCCC1,166,1
C1CCCC1,10192,1
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC4C3)CC2)CC1,11,1
C1CCCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CCC1,2,1
C(CCCC1CC2CCCCC2C1)CCC1CCCC1,36,1
C1CCC(C2CC(CC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,214,1
C1CCC(CC2CCC(CC3CCC3CCCC3CCC4CCCC4C3)CC2)CC1,0,0
C1CCCCC2CCCCCCC(CCC(CC3CCCCC3)C3CCCC(CCCCC2)C3)CC2CCCCC2CCCC1,0,0
C1CCC(CCCCCC2CCCC(CCCCC3CCC4CCCCC34)C2)CC1,0,0
C1CCC(CC2CCC3CC(CCC4CCCC4)CCC23)CC1,50,1
C1CCC(C2CCC(C3CCCCC3CC3CCC3)C3CCCC23)CC1,54,1
C1CCC(CCCCC2CCC(CCCCC3CCC4CCCCC34)CC2)CC1,4,1
C1CC2CCC(CC3CCC(CCC4CC4)CC3)C2C1,0,0
