unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC2CC(C3CCCC4CCCCC43)CCC2C1,26,1
C1CCC(C2CC(C3CCC4CCCCC43)CC3CCCCC32)CC1,1,1
C1CCC(C2CCC(C3CCCCC3)C3C4CCCCC4CC23)CC1,0,0
C1CCC2CC(C3CCCCC3C3CCC(CC4CC4)CC3)CCC2C1,15,1
C1CCC(C2CCC(C3CCCCC3C3CCC4C(CCCC4C4CC4)C3)CC2)CC1,18,1
C1CCC(C2CCC(C3CCCCC3C3CCC4CCCC4C3)CC2)CC1,148,1
C1CCC(CCC2CCC(C3CCCCC3C3CCC4CCCCC4C3)CC2)CC1,141,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCCC4C3)C3CCCC23)CC1,13,1
C1CCC(C2CC(CCCC3CCCC3)CC(C3CCCC3)C2)CC1,164,1
C1CCC(CCCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,20,1
C1CCC(CCC2CC(CC3CCC3)CC(CCC3CCCCC3)C2CCC2CCCCC2)CC1,0,0
C1CCC(C2CCCC(CCCC3CCC(C4CCCC4)CC3)C2)CC1,104,1
C1CCC(CCC2CCC3C(C4CCCCC4)CCC(C4CCCCC4)C3C2)CC1,19,1
C1CC2CCCC2C1,5372,1
C1CCC(CC2CC(CCCCCC3CCCC3)CC(C3CCCCC3)C2)CC1,0,0
C1CCC(C2CC(C3CCCCC3)C2)CC1,3,1
C1CCC(CCCC2C(CC3CCCCC3)CC3CCC32)CC1,74,1
C1CCC(C2CC(CCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,105,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCC(C4)C3)CC2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CC3CCC(C4CCCCC4)C3)CC2)CC1,2,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCCC4C3)CC2)CC1,11,1
C1CCC(CCCC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,142,1
C1CCC(C2CC(CCCCC3CC3)C(C3CCCCC3)C3CCCC23)CC1,48,1
C1CCC(CCCC2CCC(CCCC3CCC(CCCCC4CCC5CCCCC45)CC3)CC2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CCC3CC3)CC2)CC1,49,1
C1CCC(CCCC2CCC(CCCC3CCCCC3)CC2)CC1,185,1
C1CCC(CCC2CCC(CC3CC4CCCCC4C3)CC2)CC1,19,1
C1CCCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CC1,0,0
C1CCC(CCCCC2CC3CCC2C3)CC1,17,1
C(CCCC1CCCCC1)CCCC1CCC(CCCC2CCCCC2)CC1,20,1
C1CCC(CCCC2CCC(CCCCCC3CCCC3)CC2)CC1,31,1
C1CCC(CCC(C2CCCCC2)(C2CCCCC2)C2CCCCC2)CC1,0,0
C1CCC(CCCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,0,0
C(CCCC1CCCC1)CCCC1CCCC1,74,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCC(C4)C3)C3CCCC23)CC1,0,0
C1CCC(C2CCC(CC3CC(C4CCCCC4)CCC3C3CCCCC3)CC2)CC1,0,0
C1CC(CC2CCC3CCCC32)C1,13,1
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCC4C3)C3CCCC23)CC1,15,1
C1CCC(CCCC2CCC(CCC(CCC3CCCCC3)CC3CCC4CCCCC43)CC2)CC1,0,0
C1CCC(CC2CCC(CC3CCC4CCCC43)C2)C1,1,1
C1CCC(CC2CC(C3CCCCC3)CCC2C2CCCCC2)CC1,123,1
C1CCC(CCC2CC(CC3CC3)C3CCCCC23)CC1,122,1
