unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C(NCc1ccc(Cn2ccnc2)cc1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccc(CN2CCCC2=O)cc1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccn1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1cccc[nH+]1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1c[nH]cc(-c2ccncc2)c1=O,0,0
O=C(NCc1ccccn1)c1c[nH]cc(-c2ccncc2)c1=O,0,0
O=C(NCc1ccccc1)c1cccn(-c2ccccc2)c1=O,0,0
O=C(NCc1cccc(=O)[nH]1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1cccnn1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1c[nH]cc(-c2cccnc2)c1=O,0,0
O=C(NCc1ccncc1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCOCC1)C(=O)N2c1ccccc1,146,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCNCC1)C(=O)N2c1ccccc1,248,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCSCC1)C(=O)N2c1ccccc1,0,0
O=C1CN(C(=O)CN2C(=O)N(c3ccccc3)C3=C(C(=O)CC3)C2c2ccccc2)CCN1,5,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCCCC1)C(=O)N2c1ccccc1,221,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CC[SH+]CC1)C(=O)N2c1ccccc1,1,1
O=C1CC2N1C=C(CS(=O)(=O)c1ccccc1)CS2(=O)=O,0,0
O=C1CC2N1C=C(CSc1nc(=O)c(=O)[nH][nH]1)CS2(=O)=O,0,0
O=C1CC2N1C=C(C[SH+]c1ccccc1)CS2(=O)=O,0,0
O=C1CC2N1C=C(CSc1ccccc1)CS2(=O)=O,2,1
O=C(NCc1ccccc1)c1cn(-c2ccn[nH]2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(C2CCOC2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2cnoc2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2nccs2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccno2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccon2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccn1)c1cc(-c2ccn[nH]2)cn(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cc(-c2cnoc2)cn(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(C2CCCC2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccn1)c1cn(C2CCOC2)cc(-c2ccccc2)c1=O,0,0
O=C(OCc1ccccc1)C1=C(c2ccccc2)SC2CC(=O)N12,0,0
O=C(NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1)c1ccccc1,7,1
O=C(NCc1ccccc1)c1cn(-c2cccnc2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(C2CCCOC2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(C2CCOCC2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccncc2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2cncnc2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccccc2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccccn2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccncc2)cc(-c2ccncc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccccc2)cc(-c2ccncc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2cccnc2)cc(-c2ccncc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(-c2ccccn2)cc(-c2ccncc2)c1=O,0,0
O=C(NCB1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C(NC(CCc1ccccc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C(NCc1ccccc1)c1cn(C2CCC2)cc(-c2ccccc2)c1=O,0,0
