unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,1016,1
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1cccnc1,1,1
O=C1NCC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1ccncc1,19,1
O=C1CCC2=C1C(c1ccccn1)NC(=O)N2c1ccccc1,5,1
C1=CN(c2ccccc2)c2nccn2C1c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1ccccn1,7,1
C1=CN(c2ccccc2)c2ncnn2C1c1ccccc1,0,0
O=C1CCC2=C1C(c1cccnc1)NC(=O)N2c1ccccc1,3,1
O=C1NC(c2ccccc2C2=CCOCC2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2-c2ccncc2)C=CN1c1ccccc1,5,1
O=C1NC(c2ccccc2-c2ccc(=O)[nH]c2)C=CN1c1ccccc1,1,1
O=C1NC(c2ccccc2-c2cccnc2)C=CN1c1ccccc1,4,1
O=C1NC(c2ccccc2C2=CCNCC2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2)C=CN1c1ccccc1,570,1
O=C1NC(c2cccnc2)C=CN1c1ccccc1,5,1
O=C1CCC2=C1C(c1ccccc1-c1cnco1)NC(=O)N2c1ccccc1,5,1
O=C1CCC2=C1C(c1ccccc1-c1cncs1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1nnco1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1C1=CCNC1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ncno1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccoc1)NC(=O)N2c1ccccc1,9,1
O=C1CCC2=C1C(c1ccccc1-c1ccco1)NC(=O)N2c1ccccc1,5,1
