unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C(c1ccccc1)n1ncc2ccccc21,2,1
O=C(c1ccccc1)n1ncc2cnccc21,0,0
O=C(c1ccccc1)n1ccc2cnccc21,0,0
O=C(c1ccccc1)n1ccc2cccnc21,0,0
O=C(c1ccccc1)n1ccc2ncccc21,0,0
O=C(c1ccccc1)n1ncc2cccnc21,0,0
O=C(c1ccccc1)n1ccc2ccncc21,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCCC1)NC(=O)N2c1ccccc1,4,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCCC1)NC(=O)N2c1ccncc1,2,1
O=C(c1ccccc1)c1ccccc1,74,1
O=S(=O)(c1ccccc1)c1ccccc1,73,1
c1ccc(Oc2ccccc2)cc1,107,1
c1ccc(Cc2ccccc2)cc1,115,1
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCCC1,2,1
O=C1CCC2=C1C(c1ccccc1CN1CCOCC1)NC(=O)N2c1ccccc1,3,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCOCC1)NC(=O)N2c1ccccc1,5,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCNCC1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCCCC1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCOCC1)NC(=O)N2c1ccncc1,1,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCCCC1)NC(=O)N2c1ccncc1,1,1
O=C(c1ccccc1)n1cc(-c2ncno2)c2cccnc21,0,0
C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,0,0
O=C(Nc1ccccc1)c1cn(C(=O)c2ccccc2)c2ncccc12,0,0
O=C(Nc1ccccc1)c1nn(C(=O)c2ccccc2)c2ccccc12,0,0
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCNCC1,8,1
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCOCC1,5,1
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCCCC1,2,1
O=C(c1ccsc1)n1ncc2ccccc21,0,0
O=C(C1CCCC1)n1ncc2cccnc21,0,0
O=C(C1CCCC1)n1ncc2ccccc21,0,0
O=C(C1CC1)n1ncc2cccnc21,0,0
O=C(C1CC1)n1ccc2ncccc21,0,0
O=C(C1CC1)n1ccc2nccnc21,0,0
O=C(C1CC1)n1ncc2cnccc21,0,0
O=C(C1CC1)n1ccc2cccnc21,0,0
O=C(C1CC1)n1ccc2cnccc21,0,0
O=C(C1CC1)n1ccc2ccncc21,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC1CCOCC1)C(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCC1)C(=O)N2c1ccccc1,1,1
O=C1C(=Cc2ccc(Oc3ccccc3)cc2)Oc2ccccc21,0,0
O=C(C=Cc1ccccc1)NS(=O)(=O)c1ccc(C(=O)NCC(=O)N2CCC3CCCCC32)cc1,0,0
O=C(CSc1ccccc1)NS(=O)(=O)c1ccc(C(=O)NCC(=O)N2CCC3CCCCC32)cc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCN(C3CC3)CC1)NC(=O)N2c1ccccc1,1,1
O=c1oc(-c2cccnc2Oc2ccccc2)nc2ccccc12,0,0
O=c1oc(-c2ccccc2Oc2ccccc2)nc2ccccc12,0,0
O=C1CCCC2=C1C(c1ccccc1C(=O)N1CCOCC1)NC(=O)N2c1ccccc1,0,0
O=C1CCCC2=C1C(c1ccccc1C(=O)N1CCNCC1)NC(=O)N2c1ccccc1,0,0
O=C(Nc1ccc2c(cnn2C(=O)c2ccccc2)c1)C1CC1,0,0
O=C1NN(Cc2ccccc2)CC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC1COC1)C(=O)N2c1ccccc1,0,0
