unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cnco1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccon1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cc[nH]n1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1nnc[nH]1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccno1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cnoc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccco1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ncc[nH]1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1nnn[nH]1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cocn1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccoc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ncco1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cnc[nH]1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cn[nH]c1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccn[nH]1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1c[nH]cn1)NC(=O)N2c1ccccc1,0,0
O=C1CC2C(CCN2C(=O)OCc2ccccc2)N1,0,0
O=C1CC2C(CCN2C(=O)CCN2CCCCC2)N1,0,0
O=C1CC2C(CCN2C(=O)OCc2ccccc2)O1,0,0
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NCc1ncco1)C(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NCc1cc[nH]n1)C(=O)N2c1ccccc1,2,1
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NCc1cnc[nH]1)C(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NCc1c[nH]cn1)C(=O)N2c1ccccc1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NC1CCNC1=O,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NCc1cn[nH]c1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NCC1CCOC1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NCc1nnco1,0,0
O=C1CC(CNC(=O)CN2C(=O)N(c3ccccc3)C3=C(C(=O)CC3)C2c2ccccc2)CN1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NCC1CCC(=O)N1,0,0
