unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C(Cn1ccc(=O)[nH]c1=O)NCC(=O)N1CCCC1,0,0
O=C(CN1CCNC(=O)C1=O)NCC(=O)N1CCCC1,0,0
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,0,0
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(CCSc2ccccc2)cc1,0,0
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,0,0
O=S(=O)(Nc1ccccc1)c1ccccc1,0,0
c1ccc(N=Nc2ccccc2)cc1,0,0
O=C(Nc1ccccc1)c1ccccc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1Cc2ccccc2C1,0,0
O=C(CNC(=O)OCc1ccccc1)NC1CCNCC1,0,0
O=C(CN1CCNC1=O)NCC(=O)N1CCCC1,0,0
O=C(CSC(=O)c1cccs1)NC1CCSC1=O,0,0
O=C(NCCc1ccccc1)OCC1=CN2C(=O)CC2S(=O)(=O)C1,0,0
O=C(COc1ccccc1)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CCNCC1,0,0
O=c1ccocc1,0,0
c1ccccc1,0,0
O=C(NCP(=O)(Oc1ccccc1)Oc1ccccc1)C1CCCN1,0,0
O=C(NCc1ccccc1)OCC1C(=O)N2C(C(=O)OCc3ccccc3)CS(=O)(=O)C12,0,0
O=C(NCC(=O)N1CCCC1)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,0,0
O=C(CNC(=O)OCc1ccccc1)NC1Cc2ccccc2C1,0,0
O=C(CN1CCNC(=O)C1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)C(=O)NCc1ccccc1,0,0
O=C(Cn1ccc(=O)[nH]c1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)C(=O)NCc1ccccc1,0,0
O=C(CNC(=O)C1CCCN1)C(=O)NCc1ccccc1,0,0
O=C(CNC(=O)OCc1ccccc1)NC1CCCC1,0,0
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(S(=O)(=O)NC(=O)c2ccc(-c3ccncc3)cc2)cc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NCC1CCCO1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NCc1ccco1,0,0
O=C(NC(CCc1ccc(Oc2ccccc2)cc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C(COC(=O)c1ccccc1)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,0,0
O=C(CNC(=O)c1ccccc1)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NCc1ccccc1,0,0
C1CC2CCC1CN2,0,0
O=C(CCc1ccccc1)NCC(=O)NCCC1CCCCC1,0,0
O=C(CNC(=O)OCc1ccccc1)NCCc1ccccc1,0,0
O=C(Nc1nnc(SCc2cc(=O)cco2)s1)c1ccccc1,0,0
O=C(NC(CCCCc1ccccc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C1CC(Cc2ccccc2)N1C(=O)NCc1ccncc1,0,0
O=C(COc1ccccc1)NCC(=O)c1nc2ccccc2o1,0,0
O=C(NCC(=O)c1nc2ccccc2o1)OCc1ccccc1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NCCN1CCCC1,0,0
O=C1NC(=O)N1,0,0
O=C(OCc1cc(=O)cco1)c1ccccc1,0,0
O=C(NS(=O)(=O)c1ccccc1)c1ccccc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CC2CCC1C2,0,0
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(S(=O)(=O)NC(=O)C2COc3ccccc3C2)cc1,0,0
C=C1NC(=O)C(NC(=O)CNC(=O)CC2CCCCC2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,0,0
C=C1NC(=O)C(NC(=O)CNC(=O)CN2CCOCC2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,0,0
O=C(NCC(=O)N1CCc2ccccc2C1)OCc1ccccc1,0,0
C1CCNC1,0,0
O=C(NCC(=O)N1CCc2ccccc2C1)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CCCCCCC1,0,0
N=C(C(=O)NCC(=O)NC1Cc2ccccc2C1)c1cscn1,0,0
O=C(Cc1ccc(CC(=O)Oc2ccccc2)cc1)Oc1ccccc1,0,0
O=C1C(=Cc2ccc(NCc3ccccc3)cc2)Oc2ccccc21,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CCCCCC1,0,0
O=C(C=Cc1ccccc1)OC1CC2CCC1C2,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NCCc1ccccc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CCCC1,0,0
O=c1ccoc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)c1,0,0
O=C(Cc1ccccc1)NS(=O)(=O)c1ccc(C(=O)NCC(=O)N2CC3CCC2CC3)cc1,0,0
O=C(CSC(=O)c1cccs1)NCC(=O)N1CCSC1,0,0
