unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,371,1
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1cccnc1,2,1
O=C1NCC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1ccncc1,2,1
O=C1CCC2=C1C(c1ccccn1)NC(=O)N2c1ccccc1,5,1
C1=CN(c2ccccc2)c2nccn2C1c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)NC(=O)N2c1ccccn1,1,1
C1=CN(c2ccccc2)c2ncnn2C1c1ccccc1,0,0
O=C1CCC2=C1C(c1cccnc1)NC(=O)N2c1ccccc1,2,1
O=C1NC(c2ccccc2C2=CCOCC2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2-c2ccncc2)C=CN1c1ccccc1,2,1
O=C1NC(c2ccccc2-c2ccc(=O)[nH]c2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2-c2cccnc2)C=CN1c1ccccc1,2,1
O=C1NC(c2ccccc2C2=CCNCC2)C=CN1c1ccccc1,1,1
O=C1NC(c2ccccc2)C=CN1c1ccccc1,111,1
O=C1NC(c2cccnc2)C=CN1c1ccccc1,8,1
O=C1CCC2=C1C(c1ccccc1-c1cnco1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1cncs1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1nnco1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C1=CCNC1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1-c1ncno1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1-c1ccoc1)NC(=O)N2c1ccccc1,8,1
O=C1CCC2=C1C(c1ccccc1-c1ccco1)NC(=O)N2c1ccccc1,3,1
O=C1CCC2=C1C(c1ccccc1-c1cn[nH]c1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1-c1ccn[nH]1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1cc[nH]n1)NC(=O)N2c1ccccc1,3,1
O=C1CCC2=C1C(c1ccccc1-c1ccoc1)NC(=O)N2c1ccncc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1cc[nH]n1)NC(=O)N2c1ccncc1,0,0
O=C1CCCC2=C1C(c1ccccc1-c1cc[nH]c(=O)c1)NC(=O)N2c1ccccc1,2,1
O=C1CCCC2=C1C(c1ccccc1C1=CCOCC1)NC(=O)N2c1ccccc1,0,0
O=C1CC2N1C=CCS2(=O)=O,27,1
C=C1C=CN2C(=O)CC2S1(=O)=O,0,0
O=C1CCCC2=C1C(c1ccccc1C1=COCC1)NC(=O)N2c1ccccc1,1,1
O=C1CCCC2=C1C(c1ccccc1-c1cn[nH]c1)NC(=O)N2c1ccccc1,0,0
O=C1CCCC2=C1C(c1ccccc1-c1cncs1)NC(=O)N2c1ccccc1,0,0
O=C1CCCC2=C1C(c1ccccc1-c1cc[nH]n1)NC(=O)N2c1ccccc1,0,0
O=C1CCCC2=C1C(c1ccccc1-c1ccoc1)NC(=O)N2c1ccccc1,0,0
O=C1CCCC2=C1C(c1ccccc1-c1ccco1)NC(=O)N2c1ccccc1,1,1
O=C1CCCC2=C1C(c1ccccc1C1=CCNC1)NC(=O)N2c1ccccc1,0,0
O=C1CCCC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,3,1
O=C1NNCC2=C1C(c1ccccc1)NC(=O)N2c1ccccc1,1,1
O=C1CC2N1C=CC(=C1SCCCS1)S2(=O)=O,0,0
O=C(NCc1ccc(Cn2ccnc2)cc1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
