unique_scaffold_recall,count_of_occurrence,unique_indicator
c1ccc2[nH]ncc2c1,197,1
c1cnc2[nH]ccc2c1,5,1
O=c1oc(-c2cccnc2N2CCNCC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCCCC2)nc2ccccc12,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCC(N3CCOCC3)C1)NC(=O)N2c1ccccc1,0,0
O=C1C=CCC=CCCC=CC=CC=CCCCC=CC=CCC(c2cscn2)O1,0,0
O=C1CC=CC=CCCC=CC=CC=CCCCC=CC=CCC(c2cscn2)O1,0,0
O=c1oc(-c2cccnc2N2CCN(C3CCNCC3)CC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCNCC2)nc2cccc(C3CCC3)c12,0,0
O=c1oc(-c2cccnc2N2CCN(C3CCCC3)CC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCNCC2)nc2cccc(C3CC3)c12,0,0
O=c1oc(-c2cccnc2N2CCCCC2)nc2cccc(C3CC3)c12,0,0
O=C(NCc1nnco1)c1cn(C2CCC2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1cn2c(n1)S(=O)(=O)CC2)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(Oc1cn(-c2ccccc2)c(CSc2nc3ccccc3s2)cc1=O)c1ccccc1,0,0
O=C(NCc1ccccc1)c1cn(C2CC2)cc(-c2ccccc2)c1=O,0,0
O=C(CNC(=O)C1CCCN1C(=O)COc1ccccc1)c1nc2ccccc2o1,0,0
O=C(NCc1cn2ccccc2n1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccc2c(c1)CCS2(=O)=O)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccc2c(c1)C=CS2(=O)=O)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccc2c(c1)CCS2(=O)=O)c1c[nH]cc(-c2ccncc2)c1=O,0,0
O=C(NCc1ccc2[nH]ncc2c1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=c1ccoc(CSc2nc3ccccc3s2)c1,0,0
O=c1ccoc(CSc2nc3ccccc3o2)c1,0,0
O=C(OCc1ccccc1)N1CCC2C1CC(=O)N2S(=O)(=O)c1ccc2ccccc2c1,0,0
O=C(CCN1CCCCC1)N1CCC2C1CC(=O)N2S(=O)(=O)c1ccc2ccccc2c1,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCCC1)C(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NC1CCCC1)C(=O)N2c1ccccc1,1,1
O=C(OCc1ccccc1)C1=CCS(=O)(=O)C2CC(=O)N12,0,0
O=C(NCc1ccccc1)C1=CCS(=O)(=O)C2CC(=O)N12,0,0
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCC(N2CCOCC2)CC1,0,0
O=C(OCc1ccccc1)N1CCC2C1CC(=O)N2S(=O)(=O)c1cccc2ccccc12,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NC1CCCC1)NC(=O)N2c1ccccc1,0,0
