unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1CC2N1C=CC(=C1SCCS1)S2(=O)=O,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCN3CCCC3C1)C(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCN3CCOCC3C1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CC3CC1C[NH2+]3)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CC3CC1CN3)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccc3[nH]ccc3c1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccc3[nH]ncc3c1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1-c1ccc3occc3c1)NC(=O)N2c1ccccc1,2,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCc3[nH]c(=O)ccc3C1)C(=O)N2c1ccccc1,0,0
O=C1CC2N1CCS2(=O)=O,0,0
O=c1oc(-c2cccnc2N2CCN(C3CCNCC3)CC2)nc2cccc(C3CCC3)c12,0,0
O=C(NCc1nnco1)c1c[nH]cc(-c2ccccc2)c1=O,8,1
O=C(NCc1cccs1)c1c[nH]cc(-c2ccccc2)c1=O,1,1
O=C(NCc1cn[nH]c1)c1c[nH]cc(-c2ccccc2)c1=O,2,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CC3CC3C1)C(=O)N2c1ccccc1,0,0
O=C1CC2CN(C(=O)C=CCN3CCCCC3)CC2N1,0,0
O=C1CC2CN(C(=O)CCN3CCCCC3)CC2N1,0,0
O=C(NCc1ccccc1)c1cn(CC2CC2)cc(-c2ccccc2)c1=O,2,1
N=S(=O)(c1ccc(CNC(=O)c2c[nH]cc(-c3ccccc3)c2=O)cc1)C1CC1,0,0
O=C(NCc1ccc(S(=O)(=O)C2CC2)cc1)c1c[nH]cc(-c2ccccc2)c1=O,0,0
O=C(NC(CCc1ccc(C2CCCCC2)cc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C(NC(CCc1ccc(-c2ccccc2)cc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
B1OC(c2cccc(OCc3cccnc3)c2)Cc2ccccc21,0,0
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NCC1COCCO1)C(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)N(C(=O)OCc1ccccc1)C(=O)N2c1ccccc1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NC1CCOCC1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NC1CCCCC1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NC1CCNCC1,0,0
O=C(CN1C(=O)N(c2ccccc2)C2=C(C(=O)CC2)C1c1ccccc1)NC1CC1,0,0
O=C1CCC2=C1C(c1ccccc1)N(C(=O)NCC1CC1)C(=O)N2c1ccccc1,0,0
O=C(NC1CCNCC1)c1ccccc1C1C=CN(c2ccccc2)C(=O)N1,0,0
O=C(NC1CCOCC1)c1ccccc1C1C=CN(c2ccccc2)C(=O)N1,0,0
O=C(OCc1ccccc1)C1=C(CSc2nnn[nH]2)SC2CC(=O)N12,0,0
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCN2CCOCC2C1,0,0
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCC1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NC1CC1)NC(=O)N2c1ccccc1,0,0
O=C1CC2C(CCN2C(=O)C=CCN2CCCCC2)N1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NC1COC1)NC(=O)N2c1ccccc1,1,1
O=C(OCc1cc(=O)cco1)c1ccccc1,34,1
O=C(NS(=O)(=O)c1ccccc1)c1ccccc1,18,1
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CC2CCC1C2,0,0
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(S(=O)(=O)NC(=O)C2COc3ccccc3C2)cc1,0,0
C=C1NC(=O)C(NC(=O)CNC(=O)CC2CCCCC2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,0,0
C=C1NC(=O)C(NC(=O)CNC(=O)CN2CCOCC2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,0,0
O=C(NCC(=O)N1CCc2ccccc2C1)OCc1ccccc1,0,0
C1CCNC1,511,1
O=C(NCC(=O)N1CCc2ccccc2C1)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NC1CCCCCCC1,0,0
