unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1NC(c2ccccc2-c2cn[nH]c2)C=CN1c1ccccc1,1,1
O=C1NC(c2ccccc2-c2cnco2)C=CN1c1ccccc1,5,1
O=C1NC(c2ccccc2-c2cc[nH]n2)C=CN1c1ccccc1,12,1
O=C1NC(c2ccccc2-c2ccco2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2C2=COCC2)C=CN1c1ccccc1,3,1
O=C1NC(c2ccccc2-c2ccoc2)C=CN1c1ccccc1,3,1
O=C1NC(c2ccccc2-c2ccn[nH]2)C=CN1c1ccccc1,17,1
O=C1NC(c2ccccc2C2=CNCC2)C=CN1c1ccccc1,1,1
O=c1oc(-c2ccccc2)nc2ccccc12,1,1
O=c1oc(-c2cccnc2)nc2ccccc12,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCn3ncnc3C1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCn3cnnc3C1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCn3cncc3C1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCN3CCCC3C1)NC(=O)N2c1ccccc1,4,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCc3nocc3C1)NC(=O)N2c1ccccc1,0,0
O=c1ocnc2ccccc12,0,0
c1ccc2ccccc2c1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccncc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1cc[nH]c(=O)c1)NC(=O)N2c1ccccc1,1,1
O=C1CCC2=C1C(c1ccccc1-c1cncnc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C1=CCNCC1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C1=CCNCC1)NC(=O)N2c1ccncc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccc(=O)[nH]c1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1cccnc1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccncn1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1cc[nH]c(=O)c1)NC(=O)N2c1ccncc1,0,0
O=C1c2ccccc2S(=O)(=O)N1c1ccncc1,0,0
O=c1ccc(-c2ccnn2-c2ccccc2)cn1-c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NC1C3CC1C3)NC(=O)N2c1ccccc1,0,0
O=c1oc(-c2cccnc2N2CCCC2)nc2ccccc12,1,1
O=c1oc(-c2cccnc2-n2ccnc2)nc2ccccc12,0,0
O=C(NC(CCc1ccccc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C(NCc1ccccc1)c1cn(C2CCC2)cc(-c2ccccc2)c1=O,4,1
O=C(NCc1ccccn1)c1cn(C2CCC2)cc(-c2ccccc2)c1=O,0,0
O=c1oc(NCc2ccccc2)nc2ccccc12,0,0
O=C1C(=Cc2cccc(-c3ccccc3)c2)Oc2ccccc21,0,0
O=C(CN1CCNC1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,1,1
O=C(CN1C(=O)CNC1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,0,0
O=C(CN1CC(=O)NC1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,1,1
O=C(CNC(=O)C1CCCN1)c1nc2ccccc2o1,200,1
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1Cc3cn[nH]c3C1)C(=O)N2c1ccccc1,0,0
O=C(NCc1ccccn1)c1cn(CC2CCOC2)cc(-c2ccccc2)c1=O,0,0
O=C(NCc1ccccc1)c1cn(CC2CCOC2)cc(-c2ccccc2)c1=O,0,0
O=C1NC(c2ccccc2C(=O)N2CC3CC2CN3)C=CN1c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1CNC1CCOCC1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NC1CCNCC1)NC(=O)N2c1ccccc1,2,1
O=C1CCC2=C1C(c1ccccc1C(=O)NC1CCOCC1)NC(=O)N2c1ccccc1,0,0
O=C(OCc1ccccc1)C1CS(=O)(=O)C2CC(=O)N12,1,1
O=C(OCc1ccccc1)C1=CSC2CC(=O)N12,81,1
O=C(NCC(=O)N1CCOCC1)c1ccccc1C1C=CN(c2ccccc2)C(=O)N1,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCN(C3CC3)CC1)C(=O)N2c1ccccc1,0,0
O=C(NCc1cn[nH]c1)c1ccccc1C1C=CN(c2ccccc2)C(=O)N1,0,0
O=C(NCc1ccco1)c1ccccc1C1C=CN(c2ccccc2)C(=O)N1,3,1
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccncc1)NC(=O)N2c1ccccc1,12,1
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cccnn1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1cccnc1)NC(=O)N2c1ccccc1,3,1
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccccn1)NC(=O)N2c1ccccc1,4,1
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccnnc1)NC(=O)N2c1ccccc1,2,1
O=C1CCC2=C1C(c1ccccc1C(=O)NCc1ccccc1)NC(=O)N2c1ccccc1,40,1
O=C(c1ccccc1C1C=CN(c2ccccc2)C(=O)N1)N1CCN(C2CC2)CC1,0,0
O=C(OCc1ccccc1)C1CS(=O)(=O)C2C(OS(=O)(=O)c3ccccc3)C(=O)N12,0,0
O=C(NCP(=O)(Oc1ccccc1)Oc1ccccc1)C1CCCN1,0,0
O=C(NCc1ccccc1)OCC1C(=O)N2C(C(=O)OCc3ccccc3)CS(=O)(=O)C12,0,0
O=C(NCC(=O)N1CCCC1)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,11,1
O=C(CNC(=O)OCc1ccccc1)NC1Cc2ccccc2C1,0,0
O=C(CN1CCNC(=O)C1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)C(=O)NCc1ccccc1,0,0
O=C(Cn1ccc(=O)[nH]c1=O)NCC(=O)N1CCCC1C(=O)NCC(=O)C(=O)NCc1ccccc1,0,0
O=C(CNC(=O)C1CCCN1)C(=O)NCc1ccccc1,0,0
O=C(CNC(=O)OCc1ccccc1)NC1CCCC1,13,1
O=C(NCC(=O)N1CC2CCC1CC2)c1ccc(S(=O)(=O)NC(=O)c2ccc(-c3ccncc3)cc2)cc1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NCC1CCCO1,0,0
O=C(CNC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1)NCc1ccco1,0,0
O=C(NC(CCc1ccc(Oc2ccccc2)cc1)B1OC2CC3CC(C3)C2O1)C1CCCN1,0,0
O=C(COC(=O)c1ccccc1)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,74,1
O=C(CNC(=O)c1ccccc1)NCC(=O)N1CCCC1C(=O)NCC(=O)c1nc2ccccc2o1,0,0
O=C(c1ccsc1)n1ncc2ccccc21,0,0
O=C(C1CCCC1)n1ncc2cccnc21,0,0
O=C(C1CCCC1)n1ncc2ccccc21,0,0
O=C(C1CC1)n1ncc2cccnc21,0,0
O=C(C1CC1)n1ccc2ncccc21,0,0
O=C(C1CC1)n1ccc2nccnc21,0,0
O=C(C1CC1)n1ncc2cnccc21,0,0
O=C(C1CC1)n1ccc2cccnc21,0,0
O=C(C1CC1)n1ccc2cnccc21,0,0
O=C(C1CC1)n1ccc2ccncc21,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC1CCOCC1)C(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCC1)C(=O)N2c1ccccc1,13,1
O=C1C(=Cc2ccc(Oc3ccccc3)cc2)Oc2ccccc21,0,0
O=C(C=Cc1ccccc1)NS(=O)(=O)c1ccc(C(=O)NCC(=O)N2CCC3CCCCC32)cc1,0,0
O=C(CSc1ccccc1)NS(=O)(=O)c1ccc(C(=O)NCC(=O)N2CCC3CCCCC32)cc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCN(C3CC3)CC1)NC(=O)N2c1ccccc1,0,0
O=c1oc(-c2cccnc2Oc2ccccc2)nc2ccccc12,0,0
O=c1oc(-c2ccccc2Oc2ccccc2)nc2ccccc12,0,0
