name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_mean,sim,murcko,1661210.0,-,0.4656107,0.3045451,0.0045378
REINVENT_mean,sim,murcko,724047.0,-,0.292322,0.5697947,0.0012113
DrugEx_GT_epsilon_0.1_mean,sim,murcko,888095.0,-,0.4276411,0.5746572,0.0055418
DrugEx_GT_epsilon_0.6_mean,sim,murcko,908399.4,-,0.6450766,0.6141667,0.0083747
DrugEx_RNN_epsilon_0.1_mean,sim,murcko,944032.4,-,0.1048262,0.4181764,0.0181228
DrugEx_RNN_epsilon_0.6_mean,sim,murcko,900192.6,-,0.5629985,0.5017193,0.0115206
GB_GA_mut_r_0.01_mean,sim,murcko,959197.8,-,0.4764282,0.2596806,0.0192316
GB_GA_mut_r_0.5_mean,sim,murcko,929550.6,-,0.5590506,0.2287015,0.0218944
GB_GA_log_p_mut_r_0.01_mean,sim,murcko,913169.2,-,0.0673792,0.2566105,0.0034438
GB_GA_log_p_mut_r_0.5_mean,sim,murcko,829323.2,-,0.0712586,0.2576037,0.0050367
addcarbon_mean,sim,murcko,1000000.0,-,0.1182724,0.0051508,0.0016858
