unique_scaffold_recall,count_of_occurance,uniq_occurance
C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,8604,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)CC2)CC1,2538,1
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,7218,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCC23)CC1,1165,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)C3CCCCC23)CC1,322,1
C1CCC2CCC2C1,286,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCCC23)CC1,1381,1
C1CCC(C2CCC(C3CCCCC3)C3CCCCC23)CC1,802,1
C1CCC(C2CCC3CCC3C2)CC1,129,1
C1CCC(C2CCCC(CCCC3CCC(CC4CCCC4)CC3)C2)CC1,17,1
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,1853,1
C1CCC(CCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,2776,1
C1CCC(CCC2CCC3CCC3C2)CC1,64,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,130,1
C1CCC(CCCC2C3CCC3CC2C2CCCCC2)CC1,23,1
C1CCC(CCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,156,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCCC3)C2)CC1,83,1
C1CCC(CCCC2CC3CC4CC(C4)C3C2)C1,0,0
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,362,1
C1CCC(CCCC2CCC3CCCC23)CC1,527,1
C1CCC(C2CC(CCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,314,1
C1CCC(C2CC(CCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,371,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCC4C3)CC2)CC1,154,1
C1CCC(C2CCC(C3CCCCC3CCC34CC(C3)C4)CC2)CC1,0,0
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC34)CC2)CC1,51,1
C1CCC(C2CCCCC2CCC2CC3CCCCC3C2)CC1,78,1
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,183,1
C1CCC(CCCCCC2CCCC2)CC1,1850,1
C1CCC(CCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,5,1
C1CCC(CCC2CCCCC2)CC1,3130,1
C1CCC(CCCC2CCC(CCCCCC3CC4CCCCC4C3)CC2)CC1,7,1
C(CCCC1CCCCC1)CCCC1CCCCC1,1991,1
C(CCC1CCCC1)CCC1CCCC1,437,1
C(CCCC1CCC2CCC2C1)CCC1CCCCC1,784,1
C(CCCC1CCCC1CCCCC1CC2CCCCC2C1)CCC1CCCCC1,1040,1
C1CCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CC1,664,1
C1CCCCC1,5334,1
C1CCC(CC2CCC3CCCCC32)CC1,738,1
C1CCC(C2CCC(C3CCCCC3CC3CCCC3)C3CCCC23)CC1,637,1
C1CCC(CC2CCCCC2)CC1,1174,1
C1CCC(C2CCC(C3CCCCC3CC3CCCC3)CC2)CC1,989,1
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,929,1
C1CCC(CC2CC(C3CCCC3)C3CCCCC23)CC1,3,1
C1CCCCCCC2CCCC(C2)C(CC2CCCCC2)CCC(CC2CCCCC2)CCCCC1,0,0
C1CCC(CCC2CC(CC3CCCCC3)C3CCCCC23)CC1,87,1
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,1679,1
