label,UAFo,CwAFo
FP-0,0,0
FP-1,1,35
FP-2,1,53
FP-3,0,0
FP-4,0,0
FP-5,1,1
FP-6,1,1
FP-7,0,0
FP-8,0,0
FP-9,1,6
FP-10,0,0
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,0,0
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,1,1
FP-21,0,0
FP-22,1,5
FP-23,0,0
FP-24,1,20
FP-25,1,25
FP-26,0,0
FP-27,1,1
FP-28,0,0
FP-29,1,1
FP-30,0,0
FP-31,0,0
FP-32,0,0
FP-33,0,0
FP-34,0,0
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,0,0
FP-39,0,0
FP-40,0,0
FP-41,1,8
FP-42,0,0
FP-43,0,0
FP-44,0,0
FP-45,0,0
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,0,0
FP-50,0,0
FP-51,0,0
FP-52,0,0
FP-53,1,1
FP-54,0,0
FP-55,1,13
FP-56,0,0
FP-57,0,0
