label,UAFo,CwAFo
FP-0,0,0
FP-1,1,1
FP-2,0,0
FP-3,0,0
FP-4,0,0
FP-5,0,0
FP-6,1,5
FP-7,0,0
FP-8,0,0
FP-9,0,0
FP-10,0,0
FP-11,1,1
FP-12,0,0
FP-13,0,0
FP-14,1,2
FP-15,0,0
FP-16,0,0
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,0,0
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,1,2
FP-32,0,0
FP-33,1,9
FP-34,0,0
FP-35,1,5
FP-36,0,0
FP-37,1,5
FP-38,1,3
FP-39,1,1
FP-40,1,4
FP-41,0,0
FP-42,1,11
FP-43,1,10
FP-44,1,11
FP-45,0,0
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,0,0
FP-50,1,6
FP-51,1,1
FP-52,0,0
FP-53,1,13
FP-54,1,14
FP-55,1,1
FP-56,0,0
FP-57,1,3
FP-58,1,16
FP-59,0,0
FP-60,0,0
FP-61,0,0
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,1,11
FP-66,0,0
FP-67,0,0
FP-68,0,0
FP-69,0,0
FP-70,1,1
FP-71,0,0
FP-72,0,0
FP-73,0,0
FP-74,0,0
FP-75,0,0
FP-76,0,0
FP-77,1,21
FP-78,1,3
FP-79,1,2
FP-80,1,10
FP-81,1,1
FP-82,0,0
FP-83,1,1
FP-84,0,0
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,0,0
FP-89,0,0
FP-90,1,1
FP-91,0,0
FP-92,1,4
FP-93,1,14
FP-94,1,11
FP-95,1,8
FP-96,1,6
FP-97,1,2
FP-98,0,0
FP-99,1,1
FP-100,1,3
FP-101,1,2
FP-102,1,5
FP-103,0,0
FP-104,0,0
FP-105,1,2
FP-106,1,9
FP-107,0,0
FP-108,0,0
FP-109,1,1
FP-110,0,0
FP-111,1,2
FP-112,1,2
FP-113,1,10
FP-114,1,2
FP-115,1,3
FP-116,1,2
FP-117,0,0
FP-118,1,2
FP-119,1,14
FP-120,1,7
FP-121,0,0
FP-122,0,0
FP-123,1,1
FP-124,1,1
FP-125,1,3
FP-126,1,1
FP-127,0,0
FP-128,0,0
FP-129,1,7
