label,UAFo,CwAFo
FP-0,0,0
FP-1,0,0
FP-2,0,0
FP-3,0,0
FP-4,0,0
FP-5,0,0
FP-6,0,0
FP-7,0,0
FP-8,0,0
FP-9,0,0
FP-10,0,0
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,1,1
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,0,0
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,0,0
FP-33,1,14
FP-34,0,0
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,0,0
FP-39,0,0
FP-40,1,41
FP-41,1,3
FP-42,1,49
FP-43,1,17
FP-44,1,2
FP-45,1,33
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,1,1
FP-50,1,96
FP-51,0,0
FP-52,0,0
FP-53,1,11
FP-54,0,0
FP-55,1,4
FP-56,0,0
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,0,0
FP-61,0,0
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,1,75
FP-66,0,0
FP-67,0,0
FP-68,0,0
FP-69,1,2
FP-70,0,0
FP-71,0,0
FP-72,0,0
FP-73,0,0
FP-74,0,0
FP-75,0,0
FP-76,0,0
FP-77,1,153
FP-78,1,6
FP-79,0,0
FP-80,1,6
FP-81,0,0
FP-82,0,0
FP-83,0,0
FP-84,0,0
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,0,0
FP-89,0,0
FP-90,0,0
FP-91,0,0
FP-92,0,0
FP-93,1,2
FP-94,1,1
FP-95,0,0
FP-96,0,0
FP-97,0,0
FP-98,0,0
FP-99,0,0
FP-100,0,0
FP-101,0,0
FP-102,0,0
FP-103,0,0
FP-104,0,0
FP-105,0,0
FP-106,0,0
FP-107,0,0
FP-108,0,0
FP-109,0,0
FP-110,0,0
FP-111,0,0
FP-112,1,1
FP-113,1,4
FP-114,0,0
FP-115,0,0
FP-116,0,0
FP-117,0,0
FP-118,1,1
FP-119,1,11
FP-120,1,5
FP-121,0,0
FP-122,0,0
FP-123,0,0
FP-124,1,1
FP-125,1,1
FP-126,1,1
FP-127,0,0
FP-128,0,0
FP-129,1,1
