label,UAFo,CwAFo
FP-0,0,0
FP-1,0,0
FP-2,0,0
FP-3,0,0
FP-4,0,0
FP-5,0,0
FP-6,1,1
FP-7,0,0
FP-8,0,0
FP-9,0,0
FP-10,1,1
FP-11,1,1
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,0,0
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,1,1
FP-28,1,3
FP-29,1,6
FP-30,1,1
FP-31,0,0
FP-32,0,0
FP-33,0,0
FP-34,0,0
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,1,1
FP-39,0,0
FP-40,0,0
FP-41,0,0
FP-42,0,0
FP-43,1,13
FP-44,1,9
FP-45,0,0
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,0,0
FP-50,1,1
FP-51,0,0
FP-52,0,0
FP-53,0,0
FP-54,1,18
FP-55,0,0
FP-56,1,1
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,0,0
FP-61,0,0
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,1,2
FP-66,0,0
FP-67,0,0
FP-68,1,1
FP-69,0,0
FP-70,0,0
FP-71,0,0
FP-72,0,0
FP-73,0,0
FP-74,0,0
FP-75,0,0
FP-76,0,0
FP-77,1,2
FP-78,0,0
FP-79,1,2
FP-80,0,0
FP-81,0,0
FP-82,0,0
FP-83,0,0
FP-84,0,0
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,0,0
FP-89,0,0
FP-90,0,0
FP-91,0,0
FP-92,0,0
FP-93,0,0
FP-94,1,3
FP-95,1,3
FP-96,0,0
FP-97,0,0
FP-98,0,0
FP-99,0,0
FP-100,1,1
FP-101,0,0
FP-102,0,0
FP-103,0,0
FP-104,0,0
FP-105,0,0
FP-106,0,0
FP-107,0,0
FP-108,0,0
FP-109,1,1
FP-110,0,0
FP-111,0,0
FP-112,1,1
FP-113,0,0
FP-114,0,0
FP-115,0,0
FP-116,0,0
FP-117,0,0
FP-118,0,0
FP-119,0,0
FP-120,1,2
FP-121,0,0
FP-122,0,0
FP-123,0,0
FP-124,0,0
FP-125,0,0
FP-126,1,1
FP-127,0,0
FP-128,0,0
FP-129,1,2
