label,UAFo,CwAFo
FP-0,0,0
FP-1,0,0
FP-2,0,0
FP-3,0,0
FP-4,0,0
FP-5,0,0
FP-6,0,0
FP-7,0,0
FP-8,0,0
FP-9,0,0
FP-10,0,0
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,0,0
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,0,0
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,0,0
FP-33,0,0
FP-34,0,0
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,0,0
FP-39,0,0
FP-40,0,0
FP-41,0,0
FP-42,0,0
FP-43,0,0
FP-44,0,0
FP-45,0,0
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,0,0
FP-50,0,0
FP-51,0,0
FP-52,0,0
FP-53,0,0
FP-54,0,0
FP-55,0,0
FP-56,0,0
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,1,7
FP-61,0,0
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,0,0
FP-66,0,0
FP-67,0,0
FP-68,0,0
FP-69,0,0
FP-70,0,0
FP-71,0,0
FP-72,0,0
FP-73,0,0
FP-74,1,50
FP-75,0,0
FP-76,0,0
FP-77,0,0
FP-78,0,0
FP-79,0,0
FP-80,0,0
FP-81,0,0
FP-82,0,0
FP-83,0,0
FP-84,0,0
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,0,0
FP-89,0,0
FP-90,0,0
FP-91,0,0
FP-92,1,51
FP-93,0,0
FP-94,0,0
FP-95,0,0
FP-96,0,0
FP-97,0,0
