label,UAFo,CwAFo
FP-0,1,22
FP-1,0,0
FP-2,0,0
FP-3,1,2
FP-4,0,0
FP-5,0,0
FP-6,1,110
FP-7,0,0
FP-8,0,0
FP-9,1,1
FP-10,0,0
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,1,163
FP-16,0,0
FP-17,1,1
FP-18,1,23
FP-19,1,5
FP-20,0,0
FP-21,1,1
FP-22,0,0
FP-23,1,33
FP-24,0,0
FP-25,1,16
FP-26,0,0
FP-27,1,3
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,1,60
FP-33,0,0
FP-34,1,3
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,1,53
FP-39,1,84
FP-40,0,0
FP-41,1,8
FP-42,0,0
FP-43,0,0
FP-44,0,0
FP-45,1,4
FP-46,1,4
FP-47,0,0
FP-48,0,0
FP-49,1,9
FP-50,1,2
FP-51,0,0
FP-52,1,1
FP-53,1,3
FP-54,1,11
FP-55,1,275
FP-56,0,0
FP-57,0,0
FP-58,1,5
FP-59,0,0
FP-60,1,3
FP-61,1,2
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,0,0
FP-66,0,0
FP-67,1,3
FP-68,0,0
FP-69,0,0
FP-70,0,0
FP-71,0,0
FP-72,0,0
FP-73,1,58
FP-74,1,13
FP-75,1,5
FP-76,0,0
FP-77,1,9
FP-78,0,0
FP-79,1,1
FP-80,0,0
FP-81,0,0
FP-82,0,0
FP-83,0,0
FP-84,0,0
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,0,0
FP-89,0,0
FP-90,0,0
FP-91,0,0
FP-92,0,0
FP-93,0,0
FP-94,0,0
FP-95,0,0
FP-96,0,0
FP-97,0,0
FP-98,0,0
FP-99,0,0
FP-100,0,0
FP-101,0,0
FP-102,0,0
FP-103,0,0
FP-104,1,7
FP-105,0,0
FP-106,1,1
FP-107,0,0
FP-108,0,0
FP-109,0,0
FP-110,0,0
FP-111,0,0
FP-112,0,0
FP-113,0,0
FP-114,0,0
FP-115,0,0
FP-116,0,0
FP-117,1,10
FP-118,0,0
FP-119,1,28
FP-120,1,11
FP-121,1,5
FP-122,0,0
FP-123,1,1
FP-124,0,0
FP-125,0,0
FP-126,1,6
FP-127,0,0
FP-128,1,5
FP-129,1,62
FP-130,0,0
FP-131,0,0
FP-132,0,0
FP-133,0,0
FP-134,0,0
FP-135,0,0
FP-136,0,0
FP-137,0,0
FP-138,0,0
FP-139,0,0
FP-140,0,0
FP-141,0,0
FP-142,0,0
FP-143,0,0
FP-144,0,0
FP-145,0,0
FP-146,0,0
FP-147,0,0
FP-148,1,1
FP-149,0,0
FP-150,0,0
FP-151,0,0
FP-152,1,1
FP-153,0,0
FP-154,0,0
FP-155,0,0
FP-156,0,0
FP-157,0,0
FP-158,0,0
FP-159,0,0
FP-160,0,0
FP-161,0,0
FP-162,0,0
FP-163,0,0
FP-164,0,0
FP-165,0,0
FP-166,0,0
FP-167,0,0
FP-168,0,0
FP-169,0,0
FP-170,1,5
FP-171,1,1
FP-172,1,4
FP-173,0,0
FP-174,0,0
FP-175,0,0
FP-176,0,0
FP-177,0,0
FP-178,0,0
FP-179,0,0
FP-180,0,0
FP-181,0,0
FP-182,0,0
FP-183,0,0
FP-184,0,0
FP-185,0,0
FP-186,0,0
FP-187,1,5
FP-188,1,25
FP-189,1,2
FP-190,0,0
FP-191,0,0
FP-192,0,0
FP-193,1,1
FP-194,0,0
FP-195,0,0
FP-196,0,0
FP-197,0,0
FP-198,1,1
FP-199,0,0
FP-200,0,0
FP-201,1,1
FP-202,1,2
FP-203,1,2
FP-204,0,0
FP-205,0,0
FP-206,0,0
FP-207,0,0
FP-208,1,1
FP-209,0,0
FP-210,0,0
FP-211,0,0
FP-212,0,0
FP-213,1,3
FP-214,1,1
FP-215,1,28
FP-216,0,0
FP-217,1,2
FP-218,0,0
FP-219,1,10
FP-220,1,3
FP-221,0,0
FP-222,0,0
FP-223,0,0
FP-224,0,0
FP-225,0,0
FP-226,0,0
FP-227,0,0
FP-228,1,1
FP-229,0,0
FP-230,0,0
FP-231,0,0
FP-232,1,1
FP-233,1,1
FP-234,1,1
FP-235,1,1
FP-236,0,0
FP-237,0,0
FP-238,0,0
FP-239,0,0
FP-240,0,0
FP-241,0,0
FP-242,0,0
FP-243,1,1
FP-244,0,0
FP-245,0,0
FP-246,0,0
FP-247,0,0
FP-248,0,0
FP-249,0,0
FP-250,0,0
FP-251,0,0
FP-252,0,0
FP-253,0,0
FP-254,0,0
FP-255,0,0
FP-256,0,0
FP-257,0,0
FP-258,0,0
FP-259,0,0
FP-260,0,0
FP-261,0,0
FP-262,0,0
FP-263,0,0
FP-264,1,5
FP-265,0,0
FP-266,1,1
FP-267,1,5
FP-268,1,12
FP-269,1,20
FP-270,1,145
FP-271,0,0
FP-272,0,0
FP-273,0,0
FP-274,0,0
FP-275,0,0
FP-276,0,0
FP-277,0,0
FP-278,0,0
FP-279,0,0
FP-280,0,0
FP-281,0,0
FP-282,0,0
FP-283,0,0
FP-284,0,0
FP-285,0,0
FP-286,1,2
FP-287,0,0
FP-288,0,0
FP-289,0,0
FP-290,0,0
FP-291,0,0
FP-292,0,0
FP-293,0,0
FP-294,0,0
FP-295,0,0
FP-296,0,0
FP-297,0,0
FP-298,0,0
FP-299,0,0
FP-300,0,0
FP-301,0,0
FP-302,0,0
FP-303,0,0
FP-304,0,0
FP-305,0,0
FP-306,0,0
FP-307,0,0
FP-308,0,0
FP-309,0,0
FP-310,0,0
FP-311,0,0
FP-312,1,1
FP-313,0,0
FP-314,0,0
FP-315,0,0
FP-316,0,0
FP-317,0,0
FP-318,1,1
FP-319,1,3
FP-320,0,0
FP-321,0,0
FP-322,0,0
FP-323,0,0
FP-324,0,0
FP-325,0,0
FP-326,1,8
FP-327,0,0
FP-328,0,0
FP-329,0,0
FP-330,0,0
FP-331,0,0
FP-332,0,0
FP-333,0,0
FP-334,0,0
FP-335,0,0
FP-336,0,0
FP-337,1,1
FP-338,0,0
FP-339,1,74
FP-340,0,0
FP-341,0,0
FP-342,1,54
FP-343,0,0
FP-344,1,63
FP-345,1,7
FP-346,1,14
FP-347,1,42
FP-348,0,0
FP-349,0,0
FP-350,0,0
FP-351,1,4
FP-352,1,65
FP-353,1,2
