label,UAFo,CwAFo
FP-0,0,0
FP-1,1,138
FP-2,0,0
FP-3,0,0
FP-4,1,351
FP-5,0,0
FP-6,0,0
FP-7,0,0
FP-8,1,2
FP-9,0,0
FP-10,1,100
FP-11,0,0
FP-12,1,47
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,1,43
FP-17,0,0
FP-18,0,0
FP-19,1,139
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,1,49
FP-25,1,25
FP-26,1,114
FP-27,1,62
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,1,98
FP-33,0,0
FP-34,1,44
FP-35,1,131
FP-36,1,130
FP-37,1,41
FP-38,1,44
FP-39,1,38
FP-40,0,0
FP-41,0,0
FP-42,0,0
FP-43,1,150
FP-44,1,123
FP-45,0,0
FP-46,1,116
FP-47,0,0
FP-48,1,40
FP-49,0,0
FP-50,0,0
FP-51,0,0
FP-52,0,0
FP-53,0,0
FP-54,0,0
FP-55,0,0
FP-56,0,0
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,1,35
FP-61,0,0
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,0,0
FP-66,1,45
FP-67,1,244
FP-68,1,36
FP-69,1,7
FP-70,0,0
