QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_dis_1_1297	False	0	0.52567	0.47433
Glucocorticoid_receptor_dis_1_0466	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_0882	True	1	0.04667	0.95333
Glucocorticoid_receptor_dis_1_1566	False	0	0.88	0.12
Glucocorticoid_receptor_dis_1_1855	False	0	0.732	0.268
Glucocorticoid_receptor_dis_1_0288	True	0	0.8	0.2
Glucocorticoid_receptor_dis_1_0861	True	1	0.24	0.76
Glucocorticoid_receptor_dis_1_0195	True	1	0.06	0.94
Glucocorticoid_receptor_dis_1_1228	False	0	0.92	0.08
Glucocorticoid_receptor_dis_1_1200	False	0	0.84	0.16
Glucocorticoid_receptor_dis_1_0456	True	1	0.04	0.96
Glucocorticoid_receptor_dis_1_0682	True	1	0.085	0.915
Glucocorticoid_receptor_dis_1_0035	True	1	0.04667	0.95333
Glucocorticoid_receptor_dis_1_0625	True	1	0.01	0.99
Glucocorticoid_receptor_dis_1_0845	True	1	0.02	0.98
Glucocorticoid_receptor_dis_1_0441	True	0	0.9	0.1
Glucocorticoid_receptor_dis_1_0282	True	1	0.41667	0.58333
Glucocorticoid_receptor_dis_1_0868	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_1639	False	0	0.77806	0.22194
Glucocorticoid_receptor_dis_1_1015	True	1	0.14	0.86
Glucocorticoid_receptor_dis_1_1152	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1451	False	0	0.96	0.04
Glucocorticoid_receptor_dis_1_1058	False	0	0.94	0.06
Glucocorticoid_receptor_dis_1_1129	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0322	True	1	0.12	0.88
Glucocorticoid_receptor_dis_1_0550	True	1	0.02	0.98
Glucocorticoid_receptor_dis_1_0426	True	1	0.095	0.905
Glucocorticoid_receptor_dis_1_0468	True	1	0.06	0.94
Glucocorticoid_receptor_dis_1_0358	True	1	0.06	0.94
Glucocorticoid_receptor_dis_1_0294	True	0	0.72	0.28
Glucocorticoid_receptor_dis_1_1758	False	0	0.89	0.11
Glucocorticoid_receptor_dis_1_1461	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1093	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0327	True	1	0.12	0.88
Glucocorticoid_receptor_dis_1_1322	False	1	0.388	0.612
Glucocorticoid_receptor_dis_1_1269	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1658	False	0	0.92	0.08
Glucocorticoid_receptor_dis_1_1927	False	0	0.66	0.34
Glucocorticoid_receptor_dis_1_1331	False	1	0.45367	0.54633
Glucocorticoid_receptor_dis_1_0556	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_1393	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0377	True	1	0.04	0.96
Glucocorticoid_receptor_dis_1_1364	False	0	0.975	0.025
Glucocorticoid_receptor_dis_1_0397	True	1	0.06	0.94
Glucocorticoid_receptor_dis_1_1172	False	0	0.8383	0.1617
Glucocorticoid_receptor_dis_1_0000	True	1	0.36	0.64
Glucocorticoid_receptor_dis_1_1738	False	0	0.51017	0.48983
Glucocorticoid_receptor_dis_1_0947	True	1	0.1	0.9
Glucocorticoid_receptor_dis_1_0260	True	1	0.16	0.84
Glucocorticoid_receptor_dis_1_1217	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0394	True	1	0.28429	0.71571
Glucocorticoid_receptor_dis_1_0375	True	1	0.18	0.82
Glucocorticoid_receptor_dis_1_0384	True	1	0.02	0.98
Glucocorticoid_receptor_dis_1_1690	False	0	0.87533	0.12467
Glucocorticoid_receptor_dis_1_0554	True	1	0.34	0.66
Glucocorticoid_receptor_dis_1_0047	True	1	0.27667	0.72333
Glucocorticoid_receptor_dis_1_0783	True	1	0.18171	0.81829
Glucocorticoid_receptor_dis_1_0769	True	1	0.04	0.96
Glucocorticoid_receptor_dis_1_1227	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1908	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0082	True	1	0.13667	0.86333
Glucocorticoid_receptor_dis_1_0301	True	0	0.59967	0.40033
Glucocorticoid_receptor_dis_1_0218	True	1	0.04	0.96
Glucocorticoid_receptor_dis_1_1584	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0314	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_0264	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_0728	True	1	0.01667	0.98333
Glucocorticoid_receptor_dis_1_0462	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_1084	False	1	0.40705	0.59295
Glucocorticoid_receptor_dis_1_1378	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1179	False	0	0.50967	0.49033
Glucocorticoid_receptor_dis_1_0719	True	1	0.06533	0.93467
Glucocorticoid_receptor_dis_1_1907	False	0	0.62	0.38
Glucocorticoid_receptor_dis_1_1824	False	0	0.73817	0.26183
Glucocorticoid_receptor_dis_1_1036	False	0	0.79595	0.20405
Glucocorticoid_receptor_dis_1_0604	True	1	0.06	0.94
Glucocorticoid_receptor_dis_1_0968	True	1	0.03	0.97
Glucocorticoid_receptor_dis_1_0698	True	1	0.196	0.804
Glucocorticoid_receptor_dis_1_1306	False	0	0.55033	0.44967
Glucocorticoid_receptor_dis_1_1103	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0884	True	1	0.04667	0.95333
Glucocorticoid_receptor_dis_1_0032	True	1	0.2	0.8
Glucocorticoid_receptor_dis_1_0116	True	1	0.37733	0.62267
Glucocorticoid_receptor_dis_1_1849	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1409	False	0	0.87	0.13
Glucocorticoid_receptor_dis_1_1221	False	0	0.9	0.1
Glucocorticoid_receptor_dis_1_0296	True	1	0.11881	0.88119
Glucocorticoid_receptor_dis_1_0573	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_0101	True	1	0.0	1.0
Glucocorticoid_receptor_dis_1_1212	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0678	True	1	0.14	0.86
Glucocorticoid_receptor_dis_1_1799	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0239	True	1	0.191	0.809
Glucocorticoid_receptor_dis_1_1629	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_0360	True	1	0.00667	0.99333
Glucocorticoid_receptor_dis_1_0130	True	1	0.21333	0.78667
Glucocorticoid_receptor_dis_1_0283	True	0	0.76	0.24
Glucocorticoid_receptor_dis_1_0374	True	1	0.00667	0.99333
Glucocorticoid_receptor_dis_1_1812	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1057	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0447	True	0	0.92	0.08
Glucocorticoid_receptor_dis_1_0309	True	1	0.14	0.86
Glucocorticoid_receptor_dis_1_1571	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0915	True	0	0.55	0.45
Glucocorticoid_receptor_dis_1_0754	True	0	0.94929	0.05071
Glucocorticoid_receptor_dis_1_0290	True	0	0.64667	0.35333
Glucocorticoid_receptor_dis_1_0880	True	1	0.16	0.84
Glucocorticoid_receptor_dis_1_1513	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_1747	False	0	0.94	0.06
Glucocorticoid_receptor_dis_1_0068	True	1	0.3	0.7
Glucocorticoid_receptor_dis_1_1814	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1684	False	0	0.995	0.005
Glucocorticoid_receptor_dis_1_0637	True	1	0.02	0.98
Glucocorticoid_receptor_dis_1_0181	True	1	0.17833	0.82167
Glucocorticoid_receptor_dis_1_0964	True	1	0.22	0.78
Glucocorticoid_receptor_dis_1_1541	False	0	0.86	0.14
Glucocorticoid_receptor_dis_1_0689	True	1	0.08	0.92
Glucocorticoid_receptor_dis_1_1608	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0827	True	1	0.052	0.948
Glucocorticoid_receptor_dis_1_0184	True	1	0.06667	0.93333
Glucocorticoid_receptor_dis_1_1436	False	0	0.85	0.15
Glucocorticoid_receptor_dis_1_1847	False	0	1.0	0.0
Glucocorticoid_receptor_dis_1_1572	False	0	0.98	0.02
Glucocorticoid_receptor_dis_1_0945	True	1	0.48	0.52
Glucocorticoid_receptor_dis_1_0990	True	1	0.11429	0.88571
