QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_dis_3_0080	True	1	0.28833	0.71167	0.0
Glucocorticoid_receptor_dis_3_1582	False	0	0.7706	0.2294	0.0
Glucocorticoid_receptor_dis_3_0734	True	1	0.35209	0.64791	0.0
Glucocorticoid_receptor_dis_3_1154	False	0	0.978	0.022	0.0
Glucocorticoid_receptor_dis_3_1181	False	0	0.8306	0.1694	0.0
Glucocorticoid_receptor_dis_3_0776	True	1	0.20937	0.79063	0.0
Glucocorticoid_receptor_dis_3_0291	True	1	0.1105	0.8895	0.0
Glucocorticoid_receptor_dis_3_1554	False	0	0.81043	0.18957	0.0
Glucocorticoid_receptor_dis_3_0333	True	1	0.044	0.956	0.0
Glucocorticoid_receptor_dis_3_0792	True	1	0.30271	0.69729	0.0
Glucocorticoid_receptor_dis_3_1008	False	0	0.99425	0.00575	0.0
Glucocorticoid_receptor_dis_3_0185	True	1	0.08192	0.91808	0.0
Glucocorticoid_receptor_dis_3_0142	True	1	0.108	0.892	0.0
Glucocorticoid_receptor_dis_3_0769	True	1	0.3381	0.6619	0.0
Glucocorticoid_receptor_dis_3_0908	False	1	0.42676	0.57324	0.0
Glucocorticoid_receptor_dis_3_0434	True	1	0.02742	0.97258	0.0
Glucocorticoid_receptor_dis_3_1338	False	0	0.85652	0.14348	0.0
Glucocorticoid_receptor_dis_3_1655	False	0	0.66843	0.33157	0.0
Glucocorticoid_receptor_dis_3_0968	False	0	0.96624	0.03376	0.0
Glucocorticoid_receptor_dis_3_0432	True	1	0.13283	0.86717	0.0
Glucocorticoid_receptor_dis_3_0606	True	0	0.80863	0.19137	0.0
Glucocorticoid_receptor_dis_3_1480	False	0	0.986	0.014	0.0
Glucocorticoid_receptor_dis_3_0163	True	1	0.10938	0.89062	0.0
Glucocorticoid_receptor_dis_3_0683	True	0	0.88917	0.11083	0.0
Glucocorticoid_receptor_dis_3_0119	True	1	0.34766	0.65234	0.0
Glucocorticoid_receptor_dis_3_0097	True	1	0.017	0.983	0.0
Glucocorticoid_receptor_dis_3_0835	True	1	0.23168	0.76832	0.0
Glucocorticoid_receptor_dis_3_0912	False	0	0.9283	0.0717	0.0
Glucocorticoid_receptor_dis_3_0737	True	0	0.56115	0.43885	0.0
Glucocorticoid_receptor_dis_3_0052	True	1	0.33853	0.66147	0.0
Glucocorticoid_receptor_dis_3_0999	False	1	0.47486	0.52514	0.0
Glucocorticoid_receptor_dis_3_0923	False	0	0.82921	0.17079	0.0
Glucocorticoid_receptor_dis_3_0305	True	0	0.90915	0.09085	0.0
Glucocorticoid_receptor_dis_3_1773	False	0	0.92812	0.07188	0.0
Glucocorticoid_receptor_dis_3_0021	True	1	0.04357	0.95643	0.0
Glucocorticoid_receptor_dis_3_0023	True	1	0.11227	0.88773	0.0
Glucocorticoid_receptor_dis_3_0794	True	1	0.07133	0.92867	0.0
Glucocorticoid_receptor_dis_3_1256	False	0	0.85865	0.14135	0.0
Glucocorticoid_receptor_dis_3_1288	False	0	0.75862	0.24138	0.0
Glucocorticoid_receptor_dis_3_1044	False	0	0.98542	0.01458	0.0
Glucocorticoid_receptor_dis_3_0930	False	0	0.96583	0.03417	0.0
Glucocorticoid_receptor_dis_3_1470	False	0	0.80486	0.19514	0.0
Glucocorticoid_receptor_dis_3_0255	True	1	0.44451	0.55549	0.0
Glucocorticoid_receptor_dis_3_0777	True	1	0.34202	0.65798	0.0
Glucocorticoid_receptor_dis_3_0889	False	0	0.642	0.358	0.0
Glucocorticoid_receptor_dis_3_0346	True	0	0.637	0.363	0.0
Glucocorticoid_receptor_dis_3_0000	True	1	0.35913	0.64087	0.0
Glucocorticoid_receptor_dis_3_1188	False	0	0.988	0.012	0.0
Glucocorticoid_receptor_dis_3_0811	True	1	0.00775	0.99225	0.0
Glucocorticoid_receptor_dis_3_1167	False	0	0.996	0.004	0.0
Glucocorticoid_receptor_dis_3_0115	True	1	0.2994	0.7006	0.0
Glucocorticoid_receptor_dis_3_0474	True	1	0.006	0.994	0.0
Glucocorticoid_receptor_dis_3_0302	True	1	0.11874	0.88126	0.0
Glucocorticoid_receptor_dis_3_0328	True	1	0.06633	0.93367	0.0
Glucocorticoid_receptor_dis_3_0358	True	1	0.0385	0.9615	0.0
Glucocorticoid_receptor_dis_3_1233	False	0	0.977	0.023	0.0
Glucocorticoid_receptor_dis_3_0900	False	0	0.92825	0.07175	0.0
Glucocorticoid_receptor_dis_3_1542	False	0	0.74838	0.25162	0.0
Glucocorticoid_receptor_dis_3_1732	False	0	0.95925	0.04075	0.0
Glucocorticoid_receptor_dis_3_0572	True	1	0.07686	0.92314	0.0
Glucocorticoid_receptor_dis_3_0790	True	1	0.49689	0.50311	0.0
Glucocorticoid_receptor_dis_3_1518	False	0	0.971	0.029	0.0
Glucocorticoid_receptor_dis_3_0969	False	0	0.9135	0.0865	0.0
Glucocorticoid_receptor_dis_3_1709	False	1	0.43402	0.56598	0.0
Glucocorticoid_receptor_dis_3_1444	False	1	0.21019	0.78981	0.0
Glucocorticoid_receptor_dis_3_0872	True	1	0.18687	0.81313	0.0
Glucocorticoid_receptor_dis_3_1405	False	0	0.983	0.017	0.0
Glucocorticoid_receptor_dis_3_0147	True	1	0.0655	0.9345	0.0
Glucocorticoid_receptor_dis_3_1307	False	0	0.71567	0.28433	0.0
Glucocorticoid_receptor_dis_3_1372	False	0	0.9716	0.0284	0.0
Glucocorticoid_receptor_dis_3_1251	False	0	0.9138	0.0862	0.0
Glucocorticoid_receptor_dis_3_0392	True	1	0.07975	0.92025	0.0
Glucocorticoid_receptor_dis_3_0601	True	0	0.73267	0.26733	0.0
Glucocorticoid_receptor_dis_3_1781	False	0	0.73152	0.26848	0.0
Glucocorticoid_receptor_dis_3_1697	False	0	0.99308	0.00692	0.0
Glucocorticoid_receptor_dis_3_0700	True	1	0.07638	0.92362	0.0
