QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_sim_0_0144	True	1	0.075	0.925	0.0
Glucocorticoid_receptor_sim_0_0692	False	0	0.93933	0.06067	0.0
Glucocorticoid_receptor_sim_0_1049	False	0	0.9876	0.0124	0.0
Glucocorticoid_receptor_sim_0_1366	False	0	0.9032	0.0968	0.0
Glucocorticoid_receptor_sim_0_1405	False	0	0.95	0.05	0.0
Glucocorticoid_receptor_sim_0_1363	False	0	0.946	0.054	0.0
Glucocorticoid_receptor_sim_0_1430	False	0	0.66033	0.33967	0.0
Glucocorticoid_receptor_sim_0_1200	False	0	0.9085	0.0915	0.0
Glucocorticoid_receptor_sim_0_0442	True	1	0.421	0.579	0.0
Glucocorticoid_receptor_sim_0_0029	True	1	0.008	0.992	0.0
Glucocorticoid_receptor_sim_0_1442	False	0	0.877	0.123	0.0
Glucocorticoid_receptor_sim_0_0512	True	0	0.72067	0.27933	0.0
Glucocorticoid_receptor_sim_0_0087	True	0	0.57447	0.42553	0.0
Glucocorticoid_receptor_sim_0_0138	True	1	0.05433	0.94567	0.0
Glucocorticoid_receptor_sim_0_1226	False	0	0.93173	0.06827	0.0
Glucocorticoid_receptor_sim_0_0566	False	0	0.9045	0.0955	0.0
Glucocorticoid_receptor_sim_0_0449	True	0	0.7246	0.2754	0.0
Glucocorticoid_receptor_sim_0_0831	False	0	0.934	0.066	0.0
Glucocorticoid_receptor_sim_0_0745	False	0	0.92737	0.07263	0.0
Glucocorticoid_receptor_sim_0_0828	False	1	0.359	0.641	0.0
Glucocorticoid_receptor_sim_0_1377	False	0	0.54694	0.45306	0.0
Glucocorticoid_receptor_sim_0_0020	True	0	0.66243	0.33757	0.0
Glucocorticoid_receptor_sim_0_1328	False	0	0.996	0.004	0.0
Glucocorticoid_receptor_sim_0_0450	True	0	0.64077	0.35923	0.0
Glucocorticoid_receptor_sim_0_1137	False	0	0.64427	0.35573	0.0
Glucocorticoid_receptor_sim_0_1207	False	1	0.48669	0.51331	0.0
Glucocorticoid_receptor_sim_0_0218	True	1	0.028	0.972	0.0
Glucocorticoid_receptor_sim_0_0934	False	0	0.967	0.033	0.0
Glucocorticoid_receptor_sim_0_0999	False	1	0.33518	0.66482	0.0
Glucocorticoid_receptor_sim_0_0930	False	0	0.53127	0.46873	0.0
Glucocorticoid_receptor_sim_0_1067	False	0	0.95793	0.04207	0.0
Glucocorticoid_receptor_sim_0_0698	False	0	0.69233	0.30767	0.0
Glucocorticoid_receptor_sim_0_0361	True	1	0.41792	0.58208	0.0
Glucocorticoid_receptor_sim_0_0817	False	0	0.993	0.007	0.0
Glucocorticoid_receptor_sim_0_0427	True	1	0.45943	0.54057	0.0
Glucocorticoid_receptor_sim_0_0993	False	0	0.9145	0.0855	0.0
Glucocorticoid_receptor_sim_0_0226	True	1	0.008	0.992	0.0
Glucocorticoid_receptor_sim_0_0661	False	0	0.976	0.024	0.0
Glucocorticoid_receptor_sim_0_0702	False	0	0.96667	0.03333	0.0
Glucocorticoid_receptor_sim_0_0004	True	1	0.067	0.933	0.0
Glucocorticoid_receptor_sim_0_0421	True	1	0.23077	0.76923	0.0
Glucocorticoid_receptor_sim_0_1231	False	0	0.99133	0.00867	0.0
Glucocorticoid_receptor_sim_0_1131	False	0	0.956	0.044	0.0
Glucocorticoid_receptor_sim_0_1065	False	0	0.992	0.008	0.0
Glucocorticoid_receptor_sim_0_1340	False	0	0.78373	0.21627	0.0
Glucocorticoid_receptor_sim_0_0927	False	0	0.97	0.03	0.0
Glucocorticoid_receptor_sim_0_0846	False	0	0.946	0.054	0.0
Glucocorticoid_receptor_sim_0_0697	False	0	0.77467	0.22533	0.0
Glucocorticoid_receptor_sim_0_0478	True	1	0.3528	0.6472	0.0
Glucocorticoid_receptor_sim_0_1257	False	0	0.9542	0.0458	0.0
Glucocorticoid_receptor_sim_0_0023	True	0	0.63324	0.36676	0.0
