QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_sim_1_1043	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1539	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0639	True	1	0.22	0.78
Glucocorticoid_receptor_sim_1_1537	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0057	True	1	0.34	0.66
Glucocorticoid_receptor_sim_1_1434	False	0	0.656	0.344
Glucocorticoid_receptor_sim_1_0165	True	1	0.09	0.91
Glucocorticoid_receptor_sim_1_0869	True	1	0.43933	0.56067
Glucocorticoid_receptor_sim_1_0060	True	1	0.02	0.98
Glucocorticoid_receptor_sim_1_0610	True	1	0.18	0.82
Glucocorticoid_receptor_sim_1_1549	False	0	0.84667	0.15333
Glucocorticoid_receptor_sim_1_0645	True	0	0.66	0.34
Glucocorticoid_receptor_sim_1_1305	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0173	True	0	0.975	0.025
Glucocorticoid_receptor_sim_1_1278	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0445	True	1	0.38	0.62
Glucocorticoid_receptor_sim_1_1248	False	1	0.30029	0.69971
Glucocorticoid_receptor_sim_1_0836	True	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0276	True	1	0.1175	0.8825
Glucocorticoid_receptor_sim_1_1770	False	1	0.39833	0.60167
Glucocorticoid_receptor_sim_1_1300	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0429	True	0	0.91143	0.08857
Glucocorticoid_receptor_sim_1_1759	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0067	True	1	0.46	0.54
Glucocorticoid_receptor_sim_1_0395	True	1	0.02	0.98
Glucocorticoid_receptor_sim_1_0283	True	1	0.03333	0.96667
Glucocorticoid_receptor_sim_1_0009	True	1	0.236	0.764
Glucocorticoid_receptor_sim_1_0524	True	1	0.3319	0.6681
Glucocorticoid_receptor_sim_1_1291	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1681	False	0	0.88	0.12
Glucocorticoid_receptor_sim_1_0940	False	1	0.185	0.815
Glucocorticoid_receptor_sim_1_0275	True	1	0.0	1.0
Glucocorticoid_receptor_sim_1_0704	True	1	0.49883	0.50117
Glucocorticoid_receptor_sim_1_0693	True	0	0.87124	0.12876
Glucocorticoid_receptor_sim_1_0204	True	1	0.40917	0.59083
Glucocorticoid_receptor_sim_1_0070	True	1	0.22124	0.77876
Glucocorticoid_receptor_sim_1_0163	True	0	0.54333	0.45667
Glucocorticoid_receptor_sim_1_0286	True	1	0.2025	0.7975
Glucocorticoid_receptor_sim_1_1237	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0542	True	1	0.04	0.96
Glucocorticoid_receptor_sim_1_0449	True	1	0.26667	0.73333
Glucocorticoid_receptor_sim_1_0220	True	1	0.46	0.54
Glucocorticoid_receptor_sim_1_1182	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_1124	False	0	0.87333	0.12667
Glucocorticoid_receptor_sim_1_0056	True	1	0.08667	0.91333
Glucocorticoid_receptor_sim_1_1605	False	1	0.095	0.905
Glucocorticoid_receptor_sim_1_1140	False	1	0.095	0.905
Glucocorticoid_receptor_sim_1_0320	True	1	0.46	0.54
Glucocorticoid_receptor_sim_1_0844	True	0	0.57333	0.42667
Glucocorticoid_receptor_sim_1_1128	False	0	0.71	0.29
Glucocorticoid_receptor_sim_1_1017	False	0	0.78955	0.21045
Glucocorticoid_receptor_sim_1_1590	False	0	0.97	0.03
Glucocorticoid_receptor_sim_1_0142	True	1	0.1	0.9
Glucocorticoid_receptor_sim_1_0155	True	1	0.02	0.98
Glucocorticoid_receptor_sim_1_0757	True	1	0.04	0.96
Glucocorticoid_receptor_sim_1_1773	False	0	0.616	0.384
Glucocorticoid_receptor_sim_1_0591	True	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1230	False	0	0.9	0.1
Glucocorticoid_receptor_sim_1_1264	False	0	0.935	0.065
Glucocorticoid_receptor_sim_1_0840	True	1	0.06	0.94
Glucocorticoid_receptor_sim_1_0915	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1038	False	0	0.9	0.1
Glucocorticoid_receptor_sim_1_0262	True	0	0.87667	0.12333
Glucocorticoid_receptor_sim_1_1251	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0862	True	0	0.52	0.48
Glucocorticoid_receptor_sim_1_0455	True	1	0.17467	0.82533
Glucocorticoid_receptor_sim_1_1277	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1551	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0751	True	1	0.00667	0.99333
Glucocorticoid_receptor_sim_1_0316	True	1	0.02	0.98
Glucocorticoid_receptor_sim_1_1233	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0976	False	0	0.58176	0.41824
Glucocorticoid_receptor_sim_1_0160	True	0	0.76	0.24
Glucocorticoid_receptor_sim_1_1772	False	1	0.40776	0.59224
Glucocorticoid_receptor_sim_1_0824	True	1	0.47	0.53
Glucocorticoid_receptor_sim_1_0736	True	1	0.05594	0.94406
Glucocorticoid_receptor_sim_1_0180	True	1	0.4231	0.5769
Glucocorticoid_receptor_sim_1_1739	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1581	False	0	0.876	0.124
Glucocorticoid_receptor_sim_1_0752	True	1	0.30738	0.69262
Glucocorticoid_receptor_sim_1_1485	False	0	0.90167	0.09833
Glucocorticoid_receptor_sim_1_0997	False	0	0.74095	0.25905
Glucocorticoid_receptor_sim_1_1061	False	0	0.67333	0.32667
Glucocorticoid_receptor_sim_1_1466	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0076	True	1	0.155	0.845
Glucocorticoid_receptor_sim_1_1134	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0383	True	1	0.0	1.0
Glucocorticoid_receptor_sim_1_1429	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1261	False	0	0.875	0.125
Glucocorticoid_receptor_sim_1_1272	False	0	0.78	0.22
Glucocorticoid_receptor_sim_1_0890	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_1404	False	0	0.88	0.12
Glucocorticoid_receptor_sim_1_1678	False	0	0.85	0.15
Glucocorticoid_receptor_sim_1_1222	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0727	True	1	0.0996	0.9004
Glucocorticoid_receptor_sim_1_1349	False	0	0.96	0.04
Glucocorticoid_receptor_sim_1_1059	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0315	True	1	0.04	0.96
Glucocorticoid_receptor_sim_1_0030	True	1	0.4	0.6
Glucocorticoid_receptor_sim_1_1011	False	0	0.9	0.1
Glucocorticoid_receptor_sim_1_1779	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_1307	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0961	False	0	0.96	0.04
Glucocorticoid_receptor_sim_1_1757	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_1113	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0949	False	0	0.94	0.06
Glucocorticoid_receptor_sim_1_1063	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_1771	False	1	0.46167	0.53833
Glucocorticoid_receptor_sim_1_0326	True	1	0.455	0.545
Glucocorticoid_receptor_sim_1_1123	False	0	0.86	0.14
Glucocorticoid_receptor_sim_1_0500	True	1	0.1	0.9
Glucocorticoid_receptor_sim_1_0512	True	1	0.04	0.96
Glucocorticoid_receptor_sim_1_0891	False	0	0.86	0.14
Glucocorticoid_receptor_sim_1_1784	False	0	0.92	0.08
Glucocorticoid_receptor_sim_1_0319	True	1	0.085	0.915
Glucocorticoid_receptor_sim_1_0653	True	1	0.1	0.9
Glucocorticoid_receptor_sim_1_1705	False	0	0.95	0.05
Glucocorticoid_receptor_sim_1_0583	True	1	0.0	1.0
Glucocorticoid_receptor_sim_1_1633	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0450	True	0	0.936	0.064
Glucocorticoid_receptor_sim_1_0963	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0177	True	0	0.85	0.15
Glucocorticoid_receptor_sim_1_0356	True	0	0.88	0.12
Glucocorticoid_receptor_sim_1_0065	True	1	0.0	1.0
Glucocorticoid_receptor_sim_1_1445	False	1	0.12262	0.87738
Glucocorticoid_receptor_sim_1_0994	False	1	0.12262	0.87738
Glucocorticoid_receptor_sim_1_0260	True	1	0.06	0.94
Glucocorticoid_receptor_sim_1_0418	True	1	0.44	0.56
Glucocorticoid_receptor_sim_1_0865	True	1	0.20833	0.79167
Glucocorticoid_receptor_sim_1_0787	True	0	0.89429	0.10571
Glucocorticoid_receptor_sim_1_0499	True	1	0.08	0.92
Glucocorticoid_receptor_sim_1_1065	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0249	True	1	0.02	0.98
Glucocorticoid_receptor_sim_1_0354	True	1	0.47	0.53
Glucocorticoid_receptor_sim_1_1579	False	0	0.94	0.06
Glucocorticoid_receptor_sim_1_0202	True	1	0.426	0.574
Glucocorticoid_receptor_sim_1_1644	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_1585	False	0	1.0	0.0
Glucocorticoid_receptor_sim_1_0926	False	0	0.825	0.175
Glucocorticoid_receptor_sim_1_1100	False	0	0.83333	0.16667
Glucocorticoid_receptor_sim_1_0625	True	0	0.5	0.5
Glucocorticoid_receptor_sim_1_1751	False	0	0.98	0.02
Glucocorticoid_receptor_sim_1_0535	True	0	0.53333	0.46667
