TSNE1,TSNE2,set_label,opacity
-40.016434,92.57848,Molpher,0.8
17.124044,21.160011,Molpher,0.8
67.65638,26.09411,Molpher,0.8
25.674213,-58.249233,Molpher,0.8
53.746952,-42.661747,Molpher,0.8
14.583116,-22.719227,Molpher,0.8
63.363407,-40.79796,Molpher,0.8
61.32913,-23.643963,Molpher,0.8
67.164764,-61.22114,Molpher,0.8
85.42412,-31.84593,Molpher,0.8
81.18174,-50.63859,Molpher,0.8
57.34027,-70.931786,Molpher,0.8
57.273056,-27.70201,Molpher,0.8
43.854626,31.499056,Molpher,0.8
62.63701,-25.774826,Molpher,0.8
32.857742,5.1483326,Molpher,0.8
-46.141655,-22.655201,Molpher,0.8
84.908936,-54.988743,Molpher,0.8
50.290592,-68.506615,Molpher,0.8
61.917774,-30.360897,Molpher,0.8
-50.85482,35.764244,Molpher,0.8
44.914017,-81.61292,Molpher,0.8
14.955953,5.845179,Molpher,0.8
8.477524,-6.9334683,Molpher,0.8
64.47778,-73.99078,Molpher,0.8
-14.872675,-17.400373,Molpher,0.8
58.512844,21.029648,Molpher,0.8
83.28488,-24.683475,Molpher,0.8
82.67635,11.175387,Molpher,0.8
58.41862,-11.492847,Molpher,0.8
49.854923,-24.029583,Molpher,0.8
43.046036,-1.9117337,Molpher,0.8
10.023451,-51.024784,Molpher,0.8
35.485634,24.827078,Molpher,0.8
61.396797,53.53088,Molpher,0.8
50.64785,-22.267273,Molpher,0.8
52.593544,-20.641354,Molpher,0.8
32.33084,-78.12232,Molpher,0.8
38.30931,41.22219,Molpher,0.8
99.46206,-18.151363,Molpher,0.8
17.347878,27.644142,Molpher,0.8
39.181606,35.237087,Molpher,0.8
98.719635,15.559224,Molpher,0.8
54.769993,-5.410745,Molpher,0.8
61.34029,12.463295,Molpher,0.8
97.77922,-17.855766,Molpher,0.8
67.610435,25.640419,Molpher,0.8
44.646503,33.583717,Molpher,0.8
-87.27597,35.803642,Molpher,0.8
67.173195,47.16801,Molpher,0.8
89.999985,-22.709663,Molpher,0.8
-39.700977,92.458405,Molpher,0.8
56.8477,49.43618,Molpher,0.8
66.39422,-5.7449713,Molpher,0.8
-73.50018,58.889866,Molpher,0.8
73.32457,-42.1762,Molpher,0.8
75.25361,-19.945004,Molpher,0.8
100.05482,-9.454302,Molpher,0.8
85.45575,-31.815802,Molpher,0.8
104.35238,-8.358642,Molpher,0.8
0.22661446,-9.63045,Molpher,0.8
71.591934,-35.41227,Molpher,0.8
8.245816,21.31264,Molpher,0.8
50.795235,20.303722,Molpher,0.8
67.842384,-49.13246,Molpher,0.8
-28.227728,-62.695778,Molpher,0.8
-60.624165,-28.82837,Molpher,0.8
38.97304,13.312563,Molpher,0.8
49.912968,-38.205517,Molpher,0.8
46.69873,-12.81091,Molpher,0.8
69.20814,-26.105999,Molpher,0.8
58.13159,49.540867,Molpher,0.8
59.11976,-18.44221,Molpher,0.8
61.235962,54.406284,Molpher,0.8
41.082344,41.522522,Molpher,0.8
60.987778,-8.919042,Molpher,0.8
36.26622,-28.01372,Molpher,0.8
68.653,-31.083096,Molpher,0.8
76.964424,-4.006137,Molpher,0.8
-6.041803,5.0392547,Molpher,0.8
63.42656,19.04034,Molpher,0.8
-85.54957,55.968178,Molpher,0.8
23.18112,-86.16066,Molpher,0.8
100.70072,14.977841,Molpher,0.8
43.186737,35.372395,Molpher,0.8
68.88513,21.185177,Molpher,0.8
64.550285,24.511395,Molpher,0.8
75.48239,56.740005,Molpher,0.8
105.356285,-8.454031,Molpher,0.8
-19.330805,-67.50127,Molpher,0.8
55.12741,48.131725,Molpher,0.8
75.27381,24.87816,Molpher,0.8
99.75458,15.46917,Molpher,0.8
-20.665514,-22.177427,Molpher,0.8
60.85143,-72.94714,Molpher,0.8
43.92104,0.77575403,Molpher,0.8
49.661552,-0.5262962,Molpher,0.8
41.736893,1.580475,Molpher,0.8
64.189964,-5.9200373,Molpher,0.8
66.464,-33.83221,Molpher,0.8
74.80228,59.081562,Molpher,0.8
-32.442497,13.370033,Molpher,0.8
51.76477,43.17757,Molpher,0.8
78.78671,-44.1864,Molpher,0.8
42.185608,12.3443165,Molpher,0.8
54.41208,-16.367584,Molpher,0.8
43.15666,3.093024,Molpher,0.8
104.351036,-9.136042,Molpher,0.8
-91.90845,38.61964,Molpher,0.8
-17.300068,35.874832,Molpher,0.8
96.17577,-8.433721,Molpher,0.8
-90.352165,41.88465,Molpher,0.8
91.22593,21.929558,Molpher,0.8
62.27848,-73.0309,Molpher,0.8
-85.06331,56.368565,Molpher,0.8
92.17679,-30.36237,Molpher,0.8
75.38856,21.776052,Molpher,0.8
79.26493,28.72232,Molpher,0.8
-49.624096,38.95929,Molpher,0.8
82.73841,11.4106655,Molpher,0.8
62.465706,9.713592,Molpher,0.8
65.15906,-61.088646,Molpher,0.8
45.132744,-11.048467,Molpher,0.8
50.059654,-11.54275,Molpher,0.8
49.81819,-0.53552735,Molpher,0.8
66.192154,35.792603,Molpher,0.8
44.84231,-80.507126,Molpher,0.8
-34.223026,97.136925,Molpher,0.8
59.65973,11.419964,Molpher,0.8
-66.278656,-72.082855,Molpher,0.8
78.25238,14.310095,Molpher,0.8
-16.109207,101.66272,Molpher,0.8
81.73842,-52.678417,Molpher,0.8
55.169235,-15.884994,Molpher,0.8
50.95383,3.1958804,Molpher,0.8
78.707535,14.953966,Molpher,0.8
14.942909,-32.384277,Molpher,0.8
61.016262,11.907715,Molpher,0.8
63.169514,-71.31067,Molpher,0.8
78.614265,53.455135,Molpher,0.8
44.894234,-81.58205,Molpher,0.8
35.75995,46.980766,Molpher,0.8
50.23779,-39.51871,Molpher,0.8
57.607254,-48.04137,Molpher,0.8
45.44652,36.629158,Molpher,0.8
42.607727,-81.87394,Molpher,0.8
73.30937,-31.944769,Molpher,0.8
100.26831,-9.270854,Molpher,0.8
42.91278,-82.63348,Molpher,0.8
9.745197,-8.871174,Molpher,0.8
58.569775,-11.504957,Molpher,0.8
81.0383,58.316574,Molpher,0.8
92.53525,-3.4913602,Molpher,0.8
65.061615,-33.070114,Molpher,0.8
66.065025,46.385765,Molpher,0.8
54.90733,-57.233448,Molpher,0.8
44.69849,-30.880701,Molpher,0.8
51.716393,-43.050743,Molpher,0.8
57.140854,41.0957,Molpher,0.8
100.82295,-14.090866,Molpher,0.8
60.18478,-38.193443,Molpher,0.8
94.60695,-34.35388,Molpher,0.8
13.746773,-22.007864,Molpher,0.8
57.935837,49.53674,Molpher,0.8
5.707205,-88.14565,Molpher,0.8
47.92608,-24.20113,Molpher,0.8
62.816456,-25.62429,Molpher,0.8
66.667175,-62.219078,Molpher,0.8
88.50761,-5.4344144,Molpher,0.8
84.74127,-41.54957,Molpher,0.8
-1.3531619,-61.25597,Molpher,0.8
14.87147,-59.466614,Molpher,0.8
60.312428,-38.442184,Molpher,0.8
97.59481,-2.315978,Molpher,0.8
66.52964,46.984997,Molpher,0.8
101.01466,-13.936851,Molpher,0.8
43.173878,-1.6064118,Molpher,0.8
93.50355,-30.059877,Molpher,0.8
38.044144,23.816732,Molpher,0.8
15.308915,22.300062,Molpher,0.8
96.66551,-23.241636,Molpher,0.8
12.181085,-36.223293,Molpher,0.8
31.188515,-66.0813,Molpher,0.8
53.242256,-18.61636,Molpher,0.8
-4.983198,-27.888699,Molpher,0.8
32.598785,-6.587154,Molpher,0.8
23.66403,-30.354485,Molpher,0.8
32.200764,-57.929314,Molpher,0.8
60.23183,10.566545,Molpher,0.8
65.47368,7.540052,Molpher,0.8
46.793392,-34.343235,Molpher,0.8
79.372574,52.89264,Molpher,0.8
-50.864864,35.774364,Molpher,0.8
95.60412,30.655586,Molpher,0.8
36.798927,-12.698067,Molpher,0.8
62.702713,-25.727377,Molpher,0.8
67.73283,-57.395535,Molpher,0.8
32.587692,5.327485,Molpher,0.8
94.83575,-28.572086,Molpher,0.8
91.192825,21.56198,Molpher,0.8
60.79443,-38.15133,Molpher,0.8
40.235962,-1.7961296,Molpher,0.8
-3.6180618,-27.817581,Molpher,0.8
67.85275,28.328354,Molpher,0.8
43.23402,2.9831593,Molpher,0.8
66.530914,25.177015,Molpher,0.8
95.42852,-16.362604,Molpher,0.8
88.86678,-3.972976,Molpher,0.8
40.59383,11.64604,Molpher,0.8
49.20848,-6.9669623,Molpher,0.8
68.50933,-30.687618,Molpher,0.8
84.06933,-51.688927,Molpher,0.8
57.96095,-9.89527,Molpher,0.8
-25.47627,-79.37749,Molpher,0.8
40.53118,2.799659,Molpher,0.8
49.141163,-48.277317,Molpher,0.8
50.218224,-69.14433,Molpher,0.8
64.80558,-25.856148,Molpher,0.8
74.011406,-15.616925,Molpher,0.8
92.342384,23.827219,Molpher,0.8
44.9869,33.677902,Molpher,0.8
51.662502,51.497055,Molpher,0.8
32.546356,-6.631257,Molpher,0.8
48.090828,-46.938854,Molpher,0.8
92.36359,23.815742,Molpher,0.8
60.50796,-18.304806,Molpher,0.8
-8.186017,-55.440155,Molpher,0.8
36.263947,-38.431984,Molpher,0.8
60.52874,-72.94893,Molpher,0.8
51.67837,3.8851545,Molpher,0.8
44.948723,-81.798004,Molpher,0.8
78.132645,24.996357,Molpher,0.8
60.844704,-49.340282,Molpher,0.8
98.530014,9.557773,Molpher,0.8
43.92901,0.8836741,Molpher,0.8
-90.57835,41.007694,Molpher,0.8
97.21398,-15.750944,Molpher,0.8
53.71798,-65.72016,Molpher,0.8
59.748295,11.353189,Molpher,0.8
60.870544,-74.866196,Molpher,0.8
30.312662,6.7562513,Molpher,0.8
20.83843,15.007878,Molpher,0.8
-1.6652015,36.65237,Molpher,0.8
98.338394,-10.289277,Molpher,0.8
44.792713,1.8641942,Molpher,0.8
57.82837,-16.739204,Molpher,0.8
49.436703,-13.049168,Molpher,0.8
-33.948822,98.75402,Molpher,0.8
48.183506,-46.802578,Molpher,0.8
66.870766,-30.016737,Molpher,0.8
91.17027,-0.80746436,Molpher,0.8
36.70477,47.043377,Molpher,0.8
69.74448,72.485954,Molpher,0.8
54.687443,-71.86816,Molpher,0.8
80.29944,30.47933,Molpher,0.8
-0.7298519,-86.87039,Molpher,0.8
-30.541142,99.27774,Molpher,0.8
38.852074,10.810918,Molpher,0.8
48.584686,-31.993305,Molpher,0.8
47.224354,-40.113846,Molpher,0.8
51.903423,-41.2884,Molpher,0.8
79.137665,-38.452614,Molpher,0.8
66.82274,-31.550846,Molpher,0.8
91.18709,21.43963,Molpher,0.8
91.16526,21.953056,Molpher,0.8
55.27483,29.381182,Molpher,0.8
62.9626,-41.332832,Molpher,0.8
51.3688,38.09815,Molpher,0.8
-90.57539,42.09995,Molpher,0.8
97.64179,-18.370699,Molpher,0.8
98.221725,-10.537762,Molpher,0.8
48.842,27.687477,Molpher,0.8
-10.181874,29.378418,Molpher,0.8
47.181644,-33.05226,Molpher,0.8
66.32413,-32.57734,Molpher,0.8
72.68046,60.102867,Molpher,0.8
59.42992,23.276533,Molpher,0.8
97.60995,14.47061,Molpher,0.8
50.56074,2.7347507,Molpher,0.8
56.830883,52.571735,Molpher,0.8
17.126446,18.850433,Molpher,0.8
48.236366,-46.831093,Molpher,0.8
58.449787,-68.7807,Molpher,0.8
30.187435,-68.84786,Molpher,0.8
68.97712,-20.146204,Molpher,0.8
95.06633,-17.855291,Molpher,0.8
39.55854,-7.1141796,Molpher,0.8
78.413055,54.7522,Molpher,0.8
42.77182,-42.84687,Molpher,0.8
-35.188705,100.16907,Molpher,0.8
-84.30378,60.310123,Molpher,0.8
80.09678,-56.400997,Molpher,0.8
65.42771,-23.306618,Molpher,0.8
52.14735,-41.403435,Molpher,0.8
74.45319,-16.63828,Molpher,0.8
60.145348,-11.98903,Molpher,0.8
96.42155,30.901243,Molpher,0.8
97.3627,-15.844751,Molpher,0.8
19.316303,23.098366,Molpher,0.8
82.58644,-52.087166,Molpher,0.8
72.7522,68.04474,Molpher,0.8
-7.141659,-50.476234,Molpher,0.8
50.444958,-70.09503,Molpher,0.8
27.862928,-1.5929841,Molpher,0.8
43.29756,31.705149,Molpher,0.8
57.171104,21.603613,Molpher,0.8
87.42744,-7.6683416,Molpher,0.8
15.050376,-51.900753,Molpher,0.8
60.47679,-18.315784,Molpher,0.8
51.697334,3.8369439,Molpher,0.8
32.496487,-68.04816,Molpher,0.8
46.109734,15.283633,Molpher,0.8
84.54228,-41.35111,Molpher,0.8
68.63241,-31.010487,Molpher,0.8
24.304369,24.412365,Molpher,0.8
78.60586,14.416197,Molpher,0.8
56.689224,-2.9876814,Molpher,0.8
49.279453,-46.576267,Molpher,0.8
50.06168,41.6862,Molpher,0.8
43.120644,5.689972,Molpher,0.8
69.93279,22.246798,Molpher,0.8
63.27531,-25.268745,Molpher,0.8
43.372242,35.440685,Molpher,0.8
78.900986,-40.56987,Molpher,0.8
-16.755758,100.7156,Molpher,0.8
14.308971,-22.026049,Molpher,0.8
79.985825,-56.34749,Molpher,0.8
44.178703,31.46989,Molpher,0.8
0.44266135,39.33012,Molpher,0.8
47.9274,42.125576,Molpher,0.8
39.108498,9.107413,Molpher,0.8
83.620026,-26.202883,Molpher,0.8
84.98668,22.530468,Molpher,0.8
36.329433,46.897186,Molpher,0.8
84.22484,-41.087883,Molpher,0.8
24.00036,-88.9188,Molpher,0.8
49.399044,-46.63274,Molpher,0.8
34.31599,4.0321813,Molpher,0.8
-21.715214,-51.20891,Molpher,0.8
64.00933,34.76165,Molpher,0.8
70.749,73.6152,Molpher,0.8
-40.880886,-5.368878,Molpher,0.8
-38.879864,92.20556,Molpher,0.8
71.153534,-21.7459,Molpher,0.8
49.51134,-12.289655,Molpher,0.8
-85.28942,56.209885,Molpher,0.8
44.603535,-44.25705,Molpher,0.8
44.624504,5.0833416,Molpher,0.8
-39.3172,91.40485,Molpher,0.8
64.29914,52.755432,Molpher,0.8
36.95488,26.407291,Molpher,0.8
94.479805,30.730547,Molpher,0.8
58.108368,-11.479216,Molpher,0.8
38.811596,41.296585,Molpher,0.8
54.97482,-58.147865,Molpher,0.8
-46.17455,-22.705387,Molpher,0.8
22.62841,-86.89489,Molpher,0.8
92.56175,-3.3687713,Molpher,0.8
51.387577,-71.24281,Molpher,0.8
62.296738,9.077743,Molpher,0.8
97.47068,28.480202,Molpher,0.8
50.4447,37.09377,Molpher,0.8
67.528404,-48.38846,Molpher,0.8
-7.6304774,3.3815994,Molpher,0.8
51.360943,37.805893,Molpher,0.8
57.91929,-20.601086,Molpher,0.8
-67.23335,-35.716057,Molpher,0.8
52.189312,-6.7230263,Molpher,0.8
52.669464,37.043247,Molpher,0.8
60.14887,-11.772977,Molpher,0.8
83.29779,58.084408,Molpher,0.8
